gene	direction	loo_fraction
P4HA3	up	1
TRNP1	up	1
CRYAB	up	1
TSC22D3	up	1
CORIN	up	1
PLAT	up	1
ANGPTL4	up	1
DUSP1	up	1
CFH	up	1
NT5DC3	up	1
RGCC	up	1
PLXDC2	up	1
ANKRD1	up	1
C5AR2	up	1
PER1	up	1
IGFBP5	up	1
MMP19	up	1
RHOD	up	1
ADARB1	up	1
PARM1	up	1
CYGB	up	1
STC1	up	1
EPSTI1	up	1
SLC7A2	up	1
TIMP4	up	1
COL3A1	up	1
SPRY1	up	1
EDNRB	up	1
EFHD1	up	1
PDGFD	up	1
OMD	up	1
CD82	up	1
C11orf96	up	1
TMEM204	up	1
ISG20	up	1
PCDH9	up	1
FABP5	up	1
DUSP5	up	1
AK4	up	1
GCNT1	up	1
PRELP	up	1
FADS2	up	1
PMEPA1	up	1
LYPD3	up	1
MFAP4	up	1
GADD45B	up	1
CNTN3	up	1
RASD1	up	1
AFF2	up	1
TLR4	up	1
MEDAG	up	1
SCG2	up	1
GALNT10	up	1
C1R	up	1
PPP1R13L	up	1
OPN3	up	1
EPS8	up	1
AXIN2	up	1
MFGE8	up	1
PTGS1	up	1
IRF7	up	1
CPM	up	0.8
COL11A1	up	0.8
NPPC	up	0.4
DIO2	up	0.8
HSPE1	up	1
SRGN	up	1
POLR3K	up	1
CRIP2	up	1
NRP2	up	1
TMEM100	up	1
NR4A3	up	1
FRMD5	up	1
AEBP1	up	1
SNHG5	up	1
B3GNT5	up	1
GAS6	up	1
GPC3	up	1
ALCAM	up	1
METTL7A	up	1
RPL41	up	0.8
ASPN	up	0.8
SMOC1	up	1
ISG15	up	0.8
PMP22	up	1
ADAMTSL4	up	1
IFITM1	up	1
PIP	up	0.4
RAB13	up	1
ANGPT1	up	1
NNMT	up	1
CST3	up	1
SERPING1	up	1
DDIT4	up	1
ARHGEF28	up	1
CHRNA1	up	1
LINC00511	up	0.4
LGMN	up	1
CYSTM1	up	1
SPON2	up	1
RNA28S5	up	0.4
MX1	up	0.8
MMP1	up	0.8
LRRC32	up	1
NSMF	up	1
MT2A	up	0.8
CKB	up	1
CYP7B1	up	0.4
EPHB6	up	1
FNDC4	up	1
SRPX	up	1
PLXNA2	up	0.6
IL1R1	up	1
RPL28	up	0.8
SULT1B1	up	0.6
MFAP5	up	0.6
FMO3	up	0.6
OAS1	up	1
ITGA10	up	0.8
RPS19	up	0.6
GABARAPL1	up	1
PTK2B	up	0.8
ALPL	up	0.8
IFI6	up	0.8
FBLN5	up	1
EFEMP1	up	0.8
RPL26	up	1
PNMAL1	up	1
ADRA1B	up	0.6
IL11	up	0.8
RPS2	up	0.6
PRR5L	up	0.8
HAS2	up	0.8
PLA2R1	up	0.6
ABI3BP	up	0.8
IFIT1	up	0.8
AC007969.5	up	0.4
APOD	up	0.8
FAM57A	up	0.6
DKK1	up	0.6
MUC1	up	0.6
IGFBP2	up	1
APOL2	up	0.8
FRZB	up	0.8
CTD-2192J16.15	up	0.4
PCDH18	up	0.6
IL8	up	0.6
PLAUR	up	0.8
SESN3	up	0.8
GLRX	up	0.8
SLC20A2	up	1
DPT	up	0.6
MMP10	up	0.8
GPM6B	up	0.8
GRIA1	up	0.4
RP11-742N3.1	up	0.4
SSPN	up	1
MMP3	up	0.6
TRIM47	up	0.8
PSD4	up	0.8
MCAM	up	0.6
LTBP1	up	0.6
C2CD4B	up	0.4
RP11-592N21.1	up	0.4
TGM2	up	0.8
FAM107A	up	0.8
IFI44L	up	0.8
RAB27B	up	0.6
KLF9	up	0.8
PPP1R14A	up	0.8
DNAJB4	up	0.6
SDF2L1	up	0.8
MGC4294	up	0.4
NFIA	up	0.8
LAMA2	up	0.8
ATP6V0B	up	0.8
PHKA1	up	0.8
CXCL1	up	0.6
C1QL1	up	0.6
MT-RNR1	up	0.4
PLXNB1	up	0.6
CCDC3	up	0.8
LEF1	up	0.8
TCN2	up	0.6
TLDC2	up	0.8
APOL1	up	0.6
RIMS1	up	0.6
RPL7AP6	up	0.8
MAGED4B	up	0.8
SFRP1	up	0.8
SPON1	up	0.8
GLDN	up	0.8
RFTN2	up	0.8
ABCA8	up	0.8
SORT1	up	0.6
MT-ATP6	up	0.4
UPP1	up	0.8
CALCRL	up	0.6
ISM1	up	0.8
SRM	up	0.6
ANKRD13D	up	0.6
IFIH1	up	0.8
PPAP2C	up	0.8
TES	up	0.8
TMTC1	up	0.6
FAU	up	0.8
RPL13A	up	0.6
RPL29	up	0.6
IL16	up	0.6
SP110	up	0.8
CSGALNACT1	up	0.8
CERS6	up	0.6
RPS2P46	up	0.6
ID4	up	0.6
ACTG2	up	0.6
RORA	up	0.6
IL1RL2	up	0.8
SSSCA1	up	0.6
NLGN1	up	0.6
ACTC1	up	0.6
MMD	up	0.6
MVD	up	0.6
SLC46A3	up	0.6
GDF15	up	0.8
RN7SL1	up	0.4
OAS3	up	0.8
LINC00152	up	0.6
ISLR	up	0.6
RPS28	up	0.8
TSKU	up	0.8
ATP1B1	up	0.8
ZNF408	up	0.6
FZD8	up	0.6
CTSL	up	0.8
WNT2	up	0.8
ADH1B	up	0.8
OAS2	up	0.8
RPS3	up	0.8
RPL10	up	0.8
NDUFA12	up	0.6
CYP26B1	up	0.8
RPL11	up	0.8
UCN2	up	0.6
LEPREL1	up	0.6
TNFAIP3	up	0.6
SLC6A9	up	0.6
IL12RB2	up	0.4
NHP2L1	up	0.6
EIF4EBP1	up	0.6
EIF5AL1	up	0.6
KIAA1671	up	0.6
DIO3	up	0.8
RPL8	up	0.6
ENPP1	up	0.6
KCNJ15	up	0.8
RPL13AP5	up	0.6
CTH	up	0.8
KCNG1	up	0.8
CLU	up	0.8
ST6GAL1	up	0.8
A2M	up	0.8
NT5DC2	up	0.8
FAS	up	0.6
ARHGAP10	up	0.6
SLFN11	up	0.6
LEPROT	up	0.6
LY6E	up	0.6
OSBPL5	up	0.6
RPS19BP1	up	0.6
C5AR1	up	0.6
RSPO1	up	0.6
NTN4	up	0.6
PDLIM1	up	0.6
MATN3	up	0.6
MYO1D	up	0.6
TWIST2	up	0.8
SYNPO2	up	0.8
IFIT3	up	0.8
ENC1	up	0.6
TRPC6	up	0.6
C1QTNF1	up	0.8
SPRY4	up	0.6
LONP1	up	0.6
MT1X	up	0.6
CFD	up	0.6
FMNL2	up	0.6
ROR1	up	0.6
RPS2P5	up	0.8
SMOX	up	0.8
CBLN2	up	0.8
ABCA6	up	0.8
HERC6	up	0.8
RGS9	up	0.6
TRMT61A	up	0.6
RPLP0	up	0.6
NEDD9	up	0.6
TPCN1	up	0.6
SNCA	up	0.6
CLDN1	up	0.6
FBLN2	up	0.6
RPS23	up	0.6
PTGDR	up	0.6
ID3	up	0.6
SYT12	up	0.8
INMT	up	0.8
C3	up	0.6
CCL5	up	0.6
AGPAT9	up	0.4
STXBP4	up	0.6
LIN7A	up	0.6
CLTCL1	up	0.6
RPS27	up	0.6
ZEB1	up	0.6
PYCR1	up	0.6
B3GALT4	up	0.6
PTGES	up	0.8
BCL6	up	0.6
GNB2L1	up	0.6
MID2	up	0.6
NFKBIA	up	0.6
PLXND1	up	0.6
ARG2	up	0.8
SLC39A4	up	0.8
RCN3	up	0.6
USP53	up	0.6
FBL	up	0.8
EOGT	up	0.6
TIMM13	up	0.6
IFITM10	up	0.6
NRCAM	up	0.6
ETV1	up	0.6
SPSB1	up	0.6
FAM222B	up	0.6
CNNM2	up	0.6
NDUFS4	up	0.6
WNT16	up	0.8
FTH1P8	up	0.8
COMP	up	0.8
IFIT2	up	0.8
ARRDC2	up	0.8
GYPC	up	0.8
NPM3	up	0.6
PLIN2	up	0.6
MAN2A1	up	0.6
ZHX3	up	0.6
RNF144A-AS1	up	0.6
BMP2	up	0.8
JAM3	up	0.6
RP1-239B22.5	up	0.4
PAMR1	up	0.8
NFIL3	up	0.6
RPS9	up	0.6
LGALS3BP	up	0.6
ODF3B	up	0.6
SLC9A3R1	up	0.6
RPL13	up	0.6
MT-ND3	up	0.4
DKK3	up	0.6
TCTN3	up	0.6
SHC4	up	0.8
SYT1	up	0.6
MRPS21	up	0.6
SLC25A6	up	0.6
NR2F1	up	0.6
PPP4C	up	0.6
CPPED1	up	0.6
MX2	up	0.8
NENF	up	0.8
MAD2L2	up	0.6
HBEGF	up	0.6
DMD	up	0.6
NXPH3	up	0.6
KCNK6	up	0.8
RPP25	up	0.6
COLGALT2	up	0.6
DIXDC1	up	0.6
SWI5	up	0.6
BAMBI	up	0.6
CYTL1	up	0.8
MUC13	up	0.4
CTD-2031P19.4	up	0.4
DLX5	up	0.8
SPHK1	up	0.6
SLC16A12	up	0.4
ARMC8	up	0.6
TM4SF1	up	0.6
RPL18	up	0.6
TMEM178B	up	0.6
PRICKLE2	up	0.6
DTNA	up	0.6
SLIT3	up	0.8
SP100	up	0.6
SOX9	up	0.6
GALNT18	up	0.6
SH3PXD2B	up	0.6
RUVBL2	up	0.6
NPR3	up	0.8
PTPRN	up	0.6
CXCR4	up	0.4
ADPRHL1	up	0.8
MSX2	up	0.8
RSAD2	up	0.8
NANS	up	0.6
HLA-B	up	0.6
IGF2BP1	up	0.6
FGD4	up	0.6
CHST2	up	0.8
SCG5	up	0.6
CTHRC1	up	0.6
INA	up	0.6
NKD1	up	0.8
RAMP1	up	0.8
VAT1L	up	0.8
FKBP5	up	0.8
EEF1B2	up	0.6
CCND3	up	0.6
SLC25A23	up	0.6
COL5A2	up	0.6
CXCL5	up	0.6
RNF115	up	0.6
RPL6P27	up	0.6
ANKH	up	0.6
TGFBR3	up	0.6
ATOX1	up	0.8
SLIT2	up	0.8
RPL3P4	up	0.8
PPARG	up	0.6
MLPH	up	0.6
TNFAIP8L3	up	0.8
SLITRK1	up	0.8
TYMP	up	0.8
SLPI	up	0.6
IKZF2	up	0.6
ADAMTS7	up	0.6
TSPAN5	up	0.6
MT1L	up	0.6
EEPD1	up	0.6
RPS4X	up	0.6
EIF5A	up	0.6
PHB	up	0.6
PLAC9	up	0.6
SHFM1	up	0.6
SCARA5	up	0.6
BEGAIN	up	0.8
LIMCH1	up	0.8
STS	up	0.6
RPL3	up	0.6
ITPRIP	up	0.6
WWC3	up	0.6
RPLP0P6	up	0.6
RP11-175K6.1	up	0.4
TSSC4	up	0.6
RPL10A	up	0.8
APBB2	up	0.6
C2CD4A	up	0.4
CKLF	up	0.8
TFPI2	up	0.8
IFI44	up	0.8
AQP1	up	0.8
ENDOD1	up	0.6
GGT5	up	0.6
IMP4	up	0.6
F2RL1	up	0.6
COL8A1	up	0.6
ORAI1	up	0.6
OCA2	up	0.6
TFPI	up	0.6
C1S	up	0.6
EEF1D	up	0.6
NRROS	up	0.8
OST4	up	0.8
VCAM1	up	0.8
SORBS1	up	0.8
RP11-466H18.1	up	0.4
CMKLR1	up	0.8
PROS1	up	0.6
RPL36AL	up	0.6
RRP1	up	0.6
TGFB3	up	0.6
EYA2	up	0.6
IRX3	up	0.8
RPL32	up	0.6
PRKAR2B	up	0.6
RASIP1	up	0.8
RPL27	up	0.8
C9orf69	up	0.6
ITGA3	up	0.6
NFIB	up	0.6
PDE1A	up	0.6
PCBP3	up	0.6
SNCAIP	up	0.8
ITGB5	up	0.6
PERP	up	0.8
FBLN1	up	0.6
RPL12	up	0.6
RPL19	up	0.6
OSBPL10	up	0.6
DSP	up	0.6
SLC24A3	up	0.6
QPCTL	up	0.8
RASD2	up	0.8
ENTPD1	up	0.8
CARD6	up	0.6
YIF1B	up	0.6
RPSA	up	0.6
ACVRL1	up	0.6
SLC25A28	up	0.6
DIAPH2	up	0.6
LTBP4	up	0.6
NKAIN2	up	0.4
GFRA1	up	0.8
CCDC68	up	0.6
IFI35	up	0.8
KDELC1	up	0.6
SOD3	up	0.6
PFN1P1	up	0.8
CMPK2	up	0.8
