gene	direction	loo_fraction	rra_score	padj	coverage	n_topfrac
SIPA1L2	down	1	8.35485336664001e-09	8.35485336664001e-09	5	4
RGMB	down	1	2.29542032571395e-08	2.29542032571395e-08	5	5
ELN	down	1	4.86258725988077e-08	4.86258725988077e-08	5	4
WNT5A	down	1	4.97215018286846e-08	4.97215018286846e-08	5	5
ALPK2	down	1	5.72527475934316e-08	5.72527475934316e-08	5	3
NRG1	down	1	1.32671098687208e-07	1.32671098687208e-07	5	3
SERPINB2	down	1	1.97982241315326e-07	1.97982241315326e-07	5	4
GREM2	down	1	6.63694685659608e-07	6.63694685659608e-07	5	3
SH3D19	down	1	1.32559087161075e-06	1.32559087161075e-06	5	3
SEMA6D	down	1	1.36435272549376e-06	1.36435272549376e-06	5	4
CXCL12	down	1	2.44507923111167e-06	2.44507923111167e-06	5	3
ZEB2	down	1	4.53075224627904e-06	4.53075224627904e-06	5	4
LAMA3	down	1	6.26298097972943e-06	6.26298097972943e-06	5	4
KLF12	down	1	6.97455991766098e-06	6.97455991766098e-06	5	4
SMURF2	down	1	7.6241819809552e-06	7.6241819809552e-06	5	3
PSD3	down	1	7.78503123608816e-06	7.78503123608816e-06	5	4
RALGPS2	down	1	8.02425854476925e-06	8.02425854476925e-06	5	4
ANKRD29	down	1	8.62046435897875e-06	8.62046435897875e-06	5	4
PRKCE	down	1	8.88367280523165e-06	8.88367280523165e-06	5	4
ADRA1D	down	1	1.04402631563891e-05	1.04402631563891e-05	5	4
LDB2	down	1	1.05571816238633e-05	1.05571816238633e-05	5	3
IRS1	down	1	1.17378887082117e-05	1.17378887082117e-05	5	3
EPG5	down	1	1.35978641929537e-05	1.35978641929537e-05	5	4
ZNF521	down	1	1.43444448635031e-05	1.43444448635031e-05	5	4
MEST	down	1	1.4963349067892e-05	1.4963349067892e-05	5	3
NR1D2	down	1	1.65556985198592e-05	1.65556985198592e-05	5	4
SH2D4A	down	1	1.70876970612559e-05	1.70876970612559e-05	5	2
DLX2	down	1	1.78641016190051e-05	1.78641016190051e-05	5	4
PDE1C	down	1	2.30768003899085e-05	2.30768003899085e-05	5	3
NPTX1	down	1	2.72561851165748e-05	2.72561851165748e-05	5	2
DOK6	down	1	3.0613220431958e-05	3.0613220431958e-05	5	3
BROX	down	1	3.07378300206382e-05	3.07378300206382e-05	5	4
FRMD6	down	1	3.12782155867679e-05	3.12782155867679e-05	5	3
UFL1	down	1	3.70895568299058e-05	3.70895568299058e-05	5	2
IGF2BP3	down	1	4.04152765651941e-05	4.04152765651941e-05	5	3
SLC7A5	down	1	4.24325663297471e-05	4.24325663297471e-05	5	3
TMOD2	down	1	4.40936560692853e-05	4.40936560692853e-05	5	3
ADAMTS14	down	1	4.53673872697535e-05	4.53673872697535e-05	5	3
UGCG	down	1	5.46679634271257e-05	5.46679634271257e-05	5	2
CIT	down	1	6.20721588804683e-05	6.20721588804683e-05	5	3
FMN2	down	1	6.20721588804683e-05	6.20721588804683e-05	5	3
LIF	down	1	6.47289025088748e-05	6.47289025088748e-05	5	2
ATP8B1	down	1	6.97543243205105e-05	6.97543243205105e-05	5	3
IL7R	down	1	7.20594230149833e-05	7.20594230149833e-05	5	3
LOXL2	down	1	7.32306649459116e-05	7.32306649459116e-05	5	3
SLC14A1	down	1	8.17843782322096e-05	8.17843782322096e-05	5	3
LRRC15	down	1	9.14982625288094e-05	9.14982625288094e-05	5	2
BDKRB1	down	1	9.56986393316205e-05	9.56986393316205e-05	5	3
DNAJC6	down	1	0.000104381355447119	0.000104381355447119	4	3
RAB3B	down	1	0.000108278061859098	0.000108278061859098	5	3
KLF7	down	1	0.000117691265453275	0.000117691265453275	5	3
MYLK	down	1	0.000118110074410022	0.000118110074410022	5	2
TKT	down	1	0.000126782209162746	0.000126782209162746	5	3
GNG12	down	1	0.000127630966536435	0.000127630966536435	5	3
TNS1	down	1	0.000132683948831602	0.000132683948831602	5	2
SLC4A7	down	1	0.000134556803484344	0.000134556803484344	5	3
SAMD9	down	1	0.000142869163594094	0.000142869163594094	5	2
