Name	Score	padj	coverage	n_topfrac
P4HA3	1.46170451304162e-08	1.46170451304162e-08	5	5
TRNP1	1.16813010255972e-07	1.16813010255972e-07	5	4
CRYAB	2.16628641461185e-07	2.16628641461185e-07	5	4
TSC22D3	5.46881457435551e-07	5.46881457435551e-07	5	4
CORIN	1.18437922448231e-06	1.18437922448231e-06	5	2
PLAT	1.1977623990251e-06	1.1977623990251e-06	5	4
ANGPTL4	1.5002375377968e-06	1.5002375377968e-06	5	4
DUSP1	2.62782741064504e-06	2.62782741064504e-06	5	4
CFH	3.26005272474557e-06	3.26005272474557e-06	5	3
NT5DC3	5.7339874455683e-06	5.7339874455683e-06	5	4
RGCC	5.99412189601691e-06	5.99412189601691e-06	5	4
PLXDC2	7.11168960753529e-06	7.11168960753529e-06	5	3
ANKRD1	7.4938319392838e-06	7.4938319392838e-06	4	3
C5AR2	8.86579290043111e-06	8.86579290043111e-06	5	3
PER1	1.19134015608918e-05	1.19134015608918e-05	5	3
IGFBP5	1.36813096668695e-05	1.36813096668695e-05	5	2
MMP19	1.39053190651833e-05	1.39053190651833e-05	5	4
RHOD	1.4963349067892e-05	1.4963349067892e-05	5	3
ADARB1	1.82408671227598e-05	1.82408671227598e-05	5	4
PARM1	2.0871873113243e-05	2.0871873113243e-05	5	2
CYGB	2.19993409155228e-05	2.19993409155228e-05	5	3
STC1	2.65181816485823e-05	2.65181816485823e-05	5	3
EPSTI1	2.96334301740525e-05	2.96334301740525e-05	5	3
SLC7A2	3.54704071609743e-05	3.54704071609743e-05	5	3
TIMP4	4.54546911063744e-05	4.54546911063744e-05	5	2
COL3A1	5.02462471782567e-05	5.02462471782567e-05	5	3
SPRY1	6.31334031055886e-05	6.31334031055886e-05	5	3
EDNRB	6.69423742656287e-05	6.69423742656287e-05	5	3
EFHD1	6.82708378232591e-05	6.82708378232591e-05	5	2
PDGFD	6.91857905848782e-05	6.91857905848782e-05	5	3
OMD	7.98985548118021e-05	7.98985548118021e-05	5	3
CD82	9.0975340098456e-05	9.0975340098456e-05	5	3
C11orf96	9.56986393316205e-05	9.56986393316205e-05	5	2
TMEM204	0.000118499272516072	0.000118499272516072	5	3
ISG20	0.00014810250825665	0.00014810250825665	5	2
PCDH9	0.000166766633444618	0.000166766633444618	5	3
FABP5	0.000169973729052129	0.000169973729052129	4	3
DUSP5	0.000208374175394474	0.000208374175394474	5	3
AK4	0.000211856376353865	0.000211856376353865	5	2
GCNT1	0.000231210582504672	0.000231210582504672	5	3
PRELP	0.000231210582504672	0.000231210582504672	5	2
FADS2	0.0002366101825493	0.0002366101825493	5	3
PMEPA1	0.0002366101825493	0.0002366101825493	5	3
LYPD3	0.000239178425625486	0.000239178425625486	5	3
MFAP4	0.000249635567750365	0.000249635567750365	5	3
GADD45B	0.000252296210539869	0.000252296210539869	5	3
CNTN3	0.000260390402799326	0.000260390402799326	5	3
RASD1	0.000265338519876551	0.000265338519876551	5	3
AFF2	0.000279644113532153	0.000279644113532153	5	2
TLR4	0.000282809237626724	0.000282809237626724	5	3
MEDAG	0.000291534000231748	0.000291534000231748	5	3
SCG2	0.000294481264408365	0.000294481264408365	5	3
GALNT10	0.000294481264408365	0.000294481264408365	5	3
C1R	0.000298938947482796	0.000298938947482796	5	3
PPP1R13L	0.000301935351873977	0.000301935351873977	5	3
OPN3	0.000325042717088351	0.000325042717088351	5	3
EPS8	0.000328209115957936	0.000328209115957936	5	3
AXIN2	0.000342709963763706	0.000342709963763706	5	3
MFGE8	0.00034434678442488	0.00034434678442488	5	3
PTGS1	0.000356775474880015	0.000356775474880015	5	2
