Term	Overlap	P.value	Adjusted.P.value	Genes
Negative Regulation Of Multicellular Organismal Process (GO:0051241)	8/231	1.36285382267252e-07	9.81254752324213e-05	SRGN;KLF7;DLX2;RGCC;ALPK2;RBPJ;TLR4;LOXL2
Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122)	9/763	0.000137756375034872	0.0353282902315252	KLF7;TENM2;KLF12;DLX2;EDNRB;HIVEP1;LDB2;RBPJ;LOXL2
Positive Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071902)	4/117	0.000242464917846393	0.0353282902315252	RGCC;PDGFD;WNT5A;TLR4
Epithelial To Mesenchymal Transition (GO:0001837)	3/47	0.000247932764930892	0.0353282902315252	WNT5A;RBPJ;LOXL2
Negative Regulation Of DNA-templated Transcription (GO:0045892)	10/1025	0.00026494933777765	0.0353282902315252	KLF7;TENM2;KLF12;DLX2;EDNRB;WNT5A;HIVEP1;LDB2;RBPJ;LOXL2
Regulation Of Melanin Biosynthetic Process (GO:0048021)	2/10	0.000294402418596044	0.0353282902315252	OPN3;MFSD12
Mesenchymal Cell Differentiation (GO:0048762)	3/54	0.000374429583655137	0.0385127571759569	WNT5A;RBPJ;LOXL2
Regulation Of Transcription By RNA Polymerase II (GO:0006357)	14/2028	0.000501324144057617	0.0386186768697613	TENM2;KLF12;DLX2;PLAG1;WNT5A;LDB2;RBPJ;LOXL2;KLF7;EDNRB;RGCC;HIVEP1;TLR4;MAMLD1
Chondroitin Sulfate Biosynthetic Process (GO:0030206)	2/13	0.000507755993497822	0.0386186768697613	CSGALNACT1;CHST15
BMP Signaling Pathway (GO:0030509)	3/61	0.000536370512080018	0.0386186768697613	TMEM100;HIVEP1;RGMB
Cellular Response To BMP Stimulus (GO:0071773)	3/66	0.000675765104996713	0.044231897781603	TMEM100;HIVEP1;RGMB
Chondroitin Sulfate Metabolic Process (GO:0030204)	2/16	0.000777273665131305	0.0452286551771029	CSGALNACT1;CHST15
Negative Regulation Of Insulin Secretion (GO:0046676)	2/17	0.000879446072888112	0.0452286551771029	KLF7;IRS1
Positive Regulation Of Macrophage Activation (GO:0043032)	2/17	0.000879446072888112	0.0452286551771029	WNT5A;TLR4
Positive Regulation Of Cellular Biosynthetic Process (GO:0031328)	4/174	0.00108199153895647	0.0495946036248201	OPN3;RGCC;IRS1;TLR4
Chondroitin Sulfate Proteoglycan Biosynthetic Process (GO:0050650)	2/19	0.00110210230277378	0.0495946036248201	CSGALNACT1;CHST15
Positive Regulation Of Leukocyte Activation (GO:0002696)	2/20	0.00122252374335008	0.0517774761889445	WNT5A;TLR4
Positive Regulation Of MAP Kinase Activity (GO:0043406)	3/91	0.00171392300500368	0.066850456226152	PDGFD;WNT5A;TLR4
Negative Regulation Of Ossification (GO:0030279)	2/24	0.00176410926152346	0.066850456226152	SRGN;RBPJ
Regulation Of Chondrocyte Differentiation (GO:0032330)	2/25	0.00191432692187302	0.0689157691874287	EFEMP1;LOXL2
Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)	8/938	0.00273110227929767	0.091965647633073	KLF7;RGCC;PLAG1;WNT5A;HIVEP1;LDB2;RBPJ;TLR4
Negative Regulation Of Developmental Process (GO:0051093)	3/109	0.00286610941723889	0.091965647633073	KLF7;ALPK2;LOXL2
Regulation Of Macrophage Activation (GO:0043030)	2/31	0.00293779152161205	0.091965647633073	WNT5A;TLR4
Regulation Of MAP Kinase Activity (GO:0043405)	3/114	0.00325314481792515	0.0975943445377544	DUSP1;PDGFD;TLR4
Positive Regulation Of Macromolecule Biosynthetic Process (GO:0010557)	3/122	0.00393642166532808	0.11109344821378	RGCC;IRS1;TLR4
Neuron Projection Guidance (GO:0097485)	3/124	0.00411984415214416	0.11109344821378	KLF7;SEMA6D;WNT5A
Regulation Of Ossification (GO:0030278)	2/37	0.00416600430801675	0.11109344821378	WNT5A;RBPJ
Positive Regulation Of DNA-templated Transcription (GO:0045893)	9/1243	0.00438506665130316	0.112758856747796	KLF7;RGCC;PLAG1;WNT5A;HIVEP1;LDB2;RBPJ;RGMB;TLR4
Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway (GO:0007178)	3/130	0.00470106132821581	0.116517647430818	TMEM100;HIVEP1;RGMB
Endothelial Cell Migration (GO:0043542)	2/40	0.0048549019762841	0.116517647430818	RAB13;LOXL2
Regulation Of Chemokine Production (GO:0032642)	2/41	0.00509542117143299	0.116538235502961	WNT5A;TLR4
Regulation Of Cell Migration (GO:0030334)	5/434	0.00528879839924892	0.116538235502961	IGFBP5;F10;SEMA6D;PDGFD;LDB2
Keratinocyte Differentiation (GO:0030216)	2/42	0.0053413357938857	0.116538235502961	OPN3;WNT5A
Positive Regulation Of Biosynthetic Process (GO:0009891)	2/44	0.00584923713966516	0.117443822739208	RGCC;TLR4
Positive Regulation Of Cell Differentiation (GO:0045597)	4/283	0.00623607768483103	0.117443822739208	TMEM100;DLX2;RGCC;LOXL2
Male Gonad Development (GO:0008584)	2/46	0.00637837871131966	0.117443822739208	WNT5A;MAMLD1
Development Of Primary Male Sexual Characteristics (GO:0046546)	2/46	0.00637837871131966	0.117443822739208	WNT5A;MAMLD1
Negative Regulation Of Cold-Induced Thermogenesis (GO:0120163)	2/46	0.00637837871131966	0.117443822739208	RBPJ;TLR4
Positive Regulation Of Epithelial To Mesenchymal Transition (GO:0010718)	2/47	0.0066508440161801	0.117443822739208	RGCC;LOXL2
Axon Guidance (GO:0007411)	3/149	0.00685838017860841	0.117443822739208	KLF7;SEMA6D;WNT5A
