Term	Overlap	P.value	Adjusted.P.value	Genes
Melanogenesis	4/101	0.000137683792232728	0.0192757309125819	EDNRB;PLCB4;ADCY9;WNT5A
cGMP-PKG signaling pathway	4/167	0.000929091195967292	0.0650363837177104	EDNRB;PLCB4;ADCY9;IRS1
Gap junction	3/88	0.00155666956435395	0.0726445796698512	PLCB4;ADCY9;PDGFD
Rap1 signaling pathway	4/210	0.00215622626320633	0.0754679192122216	PLCB4;ADCY9;PDGFD;SIPA1L2
Calcium signaling pathway	4/240	0.00348681186070999	0.0856522614058271	EDNRB;PLCB4;ADCY9;PDGFD
Growth hormone synthesis, secretion and action	3/119	0.00367081120310688	0.0856522614058271	PLCB4;ADCY9;IRS1
Relaxin signaling pathway	3/129	0.004600937313319	0.0920187462663801	EDNRB;PLCB4;ADCY9
Phospholipase D signaling pathway	3/148	0.00673250641986066	0.105190799833599	PLCB4;ADCY9;PDGFD
Cushing syndrome	3/155	0.00764310539329767	0.105190799833599	PLCB4;ADCY9;WNT5A
Endocrine and other factor-regulated calcium reabsorption	2/53	0.00839439914432737	0.105190799833599	PLCB4;ADCY9
Glycosaminoglycan biosynthesis	2/53	0.00839439914432737	0.105190799833599	CSGALNACT1;CHST15
Regulation of lipolysis in adipocytes	2/55	0.00901635427145137	0.105190799833599	ADCY9;IRS1
Cortisol synthesis and secretion	2/65	0.0124221288506946	0.13377677223825	PLCB4;ADCY9
Thyroid hormone synthesis	2/75	0.0163018398897164	0.150094421981688	PLCB4;ADCY9
Gastric acid secretion	2/76	0.0167148812767849	0.150094421981688	PLCB4;ADCY9
Complement and coagulation cascades	2/85	0.0206298306650227	0.150094421981688	SERPINB2;F10
Insulin secretion	2/86	0.0210863262216804	0.150094421981688	PLCB4;ADCY9
Salivary secretion	2/93	0.0243983584555714	0.150094421981688	PLCB4;ADCY9
GnRH signaling pathway	2/93	0.0243983584555714	0.150094421981688	PLCB4;ADCY9
TGF-beta signaling pathway	2/94	0.0248878721530361	0.150094421981688	GREM2;RGMB
Circadian entrainment	2/97	0.0263804448916348	0.150094421981688	PLCB4;ADCY9
Aldosterone synthesis and secretion	2/98	0.0268859021542303	0.150094421981688	PLCB4;ADCY9
Inflammatory mediator regulation of TRP channels	2/98	0.0268859021542303	0.150094421981688	PLCB4;ADCY9
Amoebiasis	2/102	0.0289467813821827	0.150094421981688	PLCB4;TLR4
Chagas disease	2/102	0.0289467813821827	0.150094421981688	PLCB4;TLR4
Longevity regulating pathway	2/102	0.0289467813821827	0.150094421981688	ADCY9;IRS1
Pancreatic secretion	2/102	0.0289467813821827	0.150094421981688	PLCB4;ADCY9
Parathyroid hormone synthesis, secretion and action	2/106	0.0310690468506044	0.155345234253022	PLCB4;ADCY9
Serotonergic synapse	2/113	0.0349264020627232	0.16028643816433	PLCB4;DUSP1
Cholinergic synapse	2/113	0.0349264020627232	0.16028643816433	PLCB4;ADCY9
Glutamatergic synapse	2/114	0.0354919970221017	0.16028643816433	PLCB4;ADCY9
Platelet activation	2/124	0.0413407930441399	0.180865969568112	PLCB4;ADCY9
Vascular smooth muscle contraction	2/133	0.0468924926367905	0.192279605688778	PLCB4;ADCY9
Pathways in cancer	4/531	0.0489233681810436	0.192279605688778	EDNRB;PLCB4;ADCY9;WNT5A
Apelin signaling pathway	2/137	0.0494433271771145	0.192279605688778	PLCB4;ADCY9
Estrogen signaling pathway	2/137	0.0494433271771145	0.192279605688778	PLCB4;ADCY9
Spinocerebellar ataxia	2/143	0.0533620261785147	0.20191036932411	PLCB4;RBPJ
Retrograde endocannabinoid signaling	2/148	0.0567096680399243	0.20768397277931	PLCB4;ADCY9
Adrenergic signaling in cardiomyocytes	2/150	0.0580690304785809	0.20768397277931	PLCB4;ADCY9
mTOR signaling pathway	2/154	0.0608217348853694	0.20768397277931	IRS1;WNT5A
