Term	Overlap	P.value	Adjusted.P.value	Genes
UV Response Dn	7/144	8.83955900616361e-08	2.03309857141763e-06	EFEMP1;PLCB4;IGFBP5;IRS1;DUSP1;GCNT1;PMP22
Hypoxia	4/200	0.00180544668821074	0.0207626369144235	ISG20;KLF7;DUSP1;RBPJ
Coagulation	3/138	0.00554975527075698	0.0425481237424702	KLF7;SERPINB2;F10
KRAS Signaling Dn	3/200	0.0152014163710365	0.0582720960889732	TENM2;SERPINB2;PLAG1
Interferon Gamma Response	3/200	0.0152014163710365	0.0582720960889732	ISG20;EPSTI1;SSPN
Epithelial Mesenchymal Transition	3/200	0.0152014163710365	0.0582720960889732	WNT5A;PMP22;LOXL2
Interferon Alpha Response	2/97	0.0263804448916348	0.0866786046439428	ISG20;EPSTI1
Notch Signaling	1/32	0.0799918451167407	0.156693730157448	WNT5A
TNF-alpha Signaling via NF-kB	2/200	0.0953787922697507	0.156693730157448	SERPINB2;DUSP1
Estrogen Response Early	2/200	0.0953787922697507	0.156693730157448	ADCY9;OPN3
Estrogen Response Late	2/200	0.0953787922697507	0.156693730157448	ISG20;OPN3
Allograft Rejection	2/200	0.0953787922697507	0.156693730157448	SRGN;GCNT1
Myogenesis	2/200	0.0953787922697507	0.156693730157448	ADCY9;SSPN
Complement	2/200	0.0953787922697507	0.156693730157448	SERPINB2;F10
Wnt-beta Catenin Signaling	1/42	0.103676802144179	0.158971096621074	RBPJ
Protein Secretion	1/96	0.221604645104967	0.31855667733839	SSPN
Apoptosis	1/161	0.343499682430156	0.407430611799948	ISG20
Xenobiotic Metabolism	1/200	0.407430611799948	0.407430611799948	F10
Glycolysis	1/200	0.407430611799948	0.407430611799948	ISG20
Adipogenesis	1/200	0.407430611799948	0.407430611799948	SSPN
KRAS Signaling Up	1/200	0.407430611799948	0.407430611799948	TMEM100
Apical Junction	1/200	0.407430611799948	0.407430611799948	IRS1
mTORC1 Signaling	1/200	0.407430611799948	0.407430611799948	IGFBP5
