Term	Overlap	P.value	Adjusted.P.value	Genes
Blood Clotting Cascade WP272	2/22	0.00148139818566458	0.111469854194632	SERPINB2;F10
Hair Follicle Development Cytodifferentiation Stage 3 Of 3 WP2840	3/87	0.00150634938100854	0.111469854194632	IGFBP5;WNT5A;RBPJ
GPR143 In Melanocytes And Retinal Pigment Epithelium Cells WP4941	2/30	0.00275282194025758	0.115752584489649	ADCY9;PLCB4
Metabolic Pathways Of Fibroblasts WP5312	2/32	0.00312844822944998	0.115752584489649	P4HA3;LOXL2
Factors And Pathways Affecting IGF1 Akt Signaling WP3850	2/36	0.00394735471174956	0.116841699467787	IGFBP5;IRS1
Glycosaminoglycan Synthesis In Fibroblasts WP5395	2/41	0.00509542117143299	0.125687055562014	CSGALNACT1;CHST15
COVID 19 And Endothelial Cell Senescence WP5256	1/5	0.0129337430598205	0.185916919580647	TLR4
Non Genomic Actions Of 1 25 Dihydroxyvitamin D3 WP4341	2/76	0.0167148812767849	0.185916919580647	PLCB4;TLR4
Nanomaterial Induced Inflammasome Activation WP3890	1/7	0.0180611983617245	0.185916919580647	TLR4
ApoE And miR 146 In Inflammation And Atherosclerosis WP3926	1/8	0.0206151221986895	0.185916919580647	TLR4
Insulin Signaling In Adipocytes Diabetic Condition WP3635	1/8	0.0206151221986895	0.185916919580647	IRS1
Insulin Signaling In Adipocytes Normal Condition WP3634	1/8	0.0206151221986895	0.185916919580647	IRS1
Induction Of Autophagy And TLR Signaling By Graphene Oxide WP5336	1/11	0.0282378723956639	0.185916919580647	TLR4
PTF1A Related Regulatory Pathway WP4147	1/11	0.0282378723956639	0.185916919580647	RBPJ
Neural Crest Differentiation WP2064	2/101	0.0284257498509602	0.185916919580647	PMP22;RBPJ
Alzheimer 39 S Disease And miRNA Effects WP2059	3/261	0.0303757896848598	0.185916919580647	PLCB4;IRS1;WNT5A
Alzheimer 39 S Disease WP5124	3/261	0.0303757896848598	0.185916919580647	PLCB4;IRS1;WNT5A
Biomarkers For Urea Cycle Disorders WP4583	1/12	0.0307658358778531	0.185916919580647	F10
DNA Damage Response Only ATM Dependent WP710	2/109	0.0327001633217815	0.185916919580647	IRS1;WNT5A
Vitamin K Metabolism And Activation Of Dependent Proteins WP5186	1/13	0.0332873496068506	0.185916919580647	F10
Neuroinflammation WP4919	1/13	0.0332873496068506	0.185916919580647	TLR4
Wnt Signaling WP428	2/113	0.0349264020627232	0.185916919580647	PLCB4;WNT5A
Abnormal Ca Handling And Effects On Muscle Contraction In DMD WP5343	1/14	0.035802429669446	0.185916919580647	SSPN
Gastrin Signaling WP4659	2/115	0.0360611625888762	0.185916919580647	SERPINB2;IRS1
Osteoblast Differentiation And Related Diseases WP4787	2/118	0.0377898673025511	0.185916919580647	WNT5A;RBPJ
Major Receptors Targeted By Epinephrine And Norepinephrine WP4589	1/16	0.0408133529856871	0.185916919580647	ADCY9
Cancer Pathways WP5434	4/507	0.0425050635348681	0.185916919580647	EDNRB;PLCB4;ADCY9;WNT5A
Canonical And Non Canonical TGF B Signaling WP3874	1/17	0.0433092282440391	0.185916919580647	LOXL2
Platelet Mediated Interactions W Vascular And Circulating Cells WP4462	1/17	0.0433092282440391	0.185916919580647	TLR4
Leptin Insulin Signaling Overlap WP3935	1/17	0.0433092282440391	0.185916919580647	IRS1
Adipogenesis WP236	2/131	0.0456360412198942	0.185916919580647	KLF7;IRS1
Proteoglycan Biosynthesis WP4784	1/18	0.0457987338494677	0.185916919580647	CSGALNACT1
Congenital Generalized Lipodystrophy WP5101	1/18	0.0457987338494677	0.185916919580647	IRS1
MYD88 Distinct Input Output Pathway WP3877	1/18	0.0457987338494677	0.185916919580647	TLR4
Extracellular Vesicles In The Crosstalk Of Cardiac Cells WP4300	1/19	0.0482818857194644	0.185916919580647	TLR4
LTF Danger Signal Response Pathway WP4478	1/19	0.0482818857194644	0.185916919580647	TLR4
Neuroinflammation And Glutamatergic Signaling WP5083	2/140	0.0513890161823796	0.185916919580647	PLCB4;IRS1
FOXA2 Pathway WP5066	1/21	0.0532291917431675	0.185916919580647	IRS1
Type II Diabetes Mellitus WP1584	1/21	0.0532291917431675	0.185916919580647	IRS1
PKC Gamma Calcium Signaling In Ataxia WP4760	1/22	0.0556933775463979	0.185916919580647	PLCB4
