Term	Overlap	P.value	Adjusted.P.value	Genes
Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway (GO:0007169)	36/284	1.35397666449799e-10	2.77982277805677e-07	EPHB6;SHC4;FOXC1;LTK;IRS1;ARHGEF28;PLAT;FGF2;UXT;EFNB2;SOCS2;PDGFD;PDGFC;PTK2B;EPHB2;EPHB1;EPHA5;NTRK2;ANGPT1;GALNT3;GDF15;BDNF;VEGFC;NRG1;SORBS1;SULF1;SULF2;VEGFA;NR4A3;AXL;DOK5;DOK6;RASA1;DDIT4;KIT;PLCB1
Regulation Of Cell Migration (GO:0030334)	46/434	1.80625261732084e-10	2.77982277805677e-07	LRRC15;IFITM1;TNXB;ROCK2;SEMA3D;LEF1;FAM107A;TNC;TWIST2;STC1;PRR5L;ADARB1;SEMA3F;LDB2;FGF2;NKD1;MYLK;WNT11;GPNMB;PDGFD;PDGFC;ENPP2;HAS2;PTK2B;PLXNC1;SLIT2;EPHB2;SASH1;NTNG1;F10;IGFBP5;LIMCH1;SEMA6D;SULF1;RHOD;ADRA2A;VEGFA;BST2;FRMD5;SFRP1;BMP2;CXCL12;NAV3;DAAM2;KIT;ATM
Defense Response To Symbiont (GO:0140546)	23/148	6.1784196812984e-09	6.33905859301215e-06	IFITM1;RSAD2;MLKL;MX2;MX1;IFI6;ISG15;IFIT1;IFI44L;IFIT3;IFIT2;OASL;BST2;ISG20;IFIH1;IL6;PLSCR1;IFI27;OAS1;OAS2;OAS3;DDIT4;IRF7
Regulation Of Cell Population Proliferation (GO:0042127)	61/766	1.88027822171336e-08	1.44687409160843e-05	IFITM1;TES;IRS1;ELN;ADRA1D;CXCL1;ADARB1;IFI35;FGF2;CLU;NUDT6;IFIT3;UFL1;ADAMTS1;TIMP1;KCNH1;IL11;IGFBP3;ITGA1;NRG1;AXIN2;ADRA2A;KLHL41;SFRP1;SAPCD2;KIT;IL6ST;PTGFR;LTK;TNXB;NPR3;DLL1;DPP4;EFNB2;GPNMB;FRZB;PDGFD;PDGFC;HAS2;SH3BP4;PTK2B;TP53I11;WNT2;E2F7;NTRK2;JUN;SMAD3;LIF;HMGA1;VEGFC;DHRS2;VEGFA;EPGN;IL6;BMP2;RGCC;NR4A3;CLCF1;ID2;IL7R;LGMN
Extracellular Matrix Organization (GO:0030198)	24/176	3.98910222307387e-08	2.45569132852427e-05	POSTN;COL27A1;MMP1;ELN;COL11A1;COL12A1;MMP3;NDNF;NID2;MMP10;LOXL2;ADAMTS14;ADAMTS2;COL3A1;ADAMTS1;ADAMTSL4;SMOC1;COL8A1;MMP19;HAS2;HMCN1;TGFBI;GAS6;GPM6B
Negative Regulation Of Viral Genome Replication (GO:0045071)	13/53	5.00491357176854e-08	2.56752066231726e-05	IFITM1;RSAD2;MX1;ISG15;IFIT1;OASL;IFIH1;BST2;ISG20;PLSCR1;OAS1;OAS2;OAS3
Regulation Of Cell Adhesion (GO:0030155)	21/144	8.71220804091278e-08	3.83088233570422e-05	TNXB;LAMA2;ANGPT1;DUSP1;ROCK2;TNC;PLAUR;NRG1;RHOD;DLL1;VEGFA;FRMD5;CXCL12;RASA1;RAC2;PTK2B;ATM;PLXNC1;TGFBI;EPHB2;TGM2
Positive Regulation Of Cell Migration (GO:0030335)	30/272	1.14420799313288e-07	4.40234025357876e-05	LRRC15;ROCK2;SEMA3D;SEMA3A;LEF1;TWIST2;FAM107A;SEMA3F;MYLK;GPNMB;PDGFD;PDGFC;ENPP2;HAS2;PTK2B;EPHB2;CLASP2;F10;SMURF2;PRKCE;SEMA6D;RHOD;ADRA2A;VEGFA;BMP2;CXCL12;DAAM2;KIT;NSMF;ATM
Regulation Of Viral Genome Replication (GO:0045069)	14/67	1.35179994925191e-07	4.62315582644152e-05	IFITM1;RSAD2;MX1;ISG15;ADARB1;IFIT1;OASL;IFIH1;BST2;ISG20;PLSCR1;OAS1;OAS2;OAS3
Negative Regulation Of Viral Process (GO:0048525)	13/61	2.96814874040345e-07	9.1359618229618e-05	IFITM1;RSAD2;MX1;ISG15;IFIT1;OASL;IFIH1;BST2;ISG20;PLSCR1;OAS1;OAS2;OAS3
Positive Regulation Of Cell Population Proliferation (GO:0008284)	42/483	3.30580418216535e-07	9.25024115700451e-05	PTGFR;TNXB;IRS1;LEF1;ADRA1D;RBPJ;FGF2;DLL1;AQP1;DPP4;EFNB2;UFL1;PDGFD;SIX2;PDGFC;HMOX1;HAS2;PTK2B;TIMP1;WNT2;NTRK2;IL11;WNT5A;LIF;VEGFC;NRG1;ADRA2A;VEGFA;BST2;SFRP1;EPGN;BMP2;IL6;NR4A3;SAPCD2;CLCF1;ID2;TMEM119;GAS6;IL6ST;IL7R;LGMN
Regulation Of Apoptotic Process (GO:0042981)	54/705	4.38447772137245e-07	0.000112461853553203	TOP2A;HIP1;FMN2;CLU;IFIT3;AQP1;IFIT2;COMP;ADAMTSL4;ANKRD1;IER3;TGM2;IGFBP3;WNT5A;PLAUR;NRG1;SFRP1;RASA1;GAS1;NSMF;ANGPTL4;ALPK2;GAS6;IL6ST;CRYAB;PRKAA1;LTK;BEX1;RPL10;LEF1;IFI6;SOCS2;PRDX5;FRZB;RPS3;PTK2B;SLIT2;NTSR1;EGR1;JUN;OPN3;ANGPT1;GADD45B;GADD45A;PLK2;PLK1;DHRS2;HIPK3;VEGFA;BMP2;IL6;AXL;ANP32E;ATM
Negative Regulation Of Multicellular Organismal Process (GO:0051241)	26/231	5.37003347115722e-07	0.000118099863294544	PTGER4;DLX1;DLX2;NPR3;STC1;ADM;RBPJ;LOXL2;WNT11;GPNMB;MARVELD3;TIMP1;SRGN;GDF15;ATP2B4;KLF7;SFRP1;BMP2;RGCC;SYT11;DDIT3;ID1;SPRY1;ALPK2;GAS6;TLR4
Cellular Response To Oxygen-Containing Compound (GO:1901701)	37/406	5.37166369760761e-07	0.000118099863294544	PRKAA1;LTK;IRS1;ROCK2;CXCL1;AHR;RORB;CLU;AQP1;UXT;PRDX5;WNT11;RPS3;ANKRD1;SH3BP4;PDK3;PTK2B;CD14;SLIT2;WNT2;KCNH1;TGM2;EGR1;JUN;IGFBP5;WNT5A;MMP3;ATP2B4;SFRP1;IL6;NR4A3;SYT11;AXL;NSMF;ATM;TLR4;LGMN
Defense Response To Virus (GO:0051607)	23/189	6.1205057186299e-07	0.000122245960265621	IFITM1;RSAD2;MLKL;MX2;MX1;IFI6;ISG15;IFIT1;IFI44L;IFIT3;IFIT2;OASL;BST2;ISG20;IFIH1;IL6;PLSCR1;IFI27;OAS1;OAS2;OAS3;DDIT4;IRF7
Axon Guidance (GO:0007411)	20/149	6.90729800386891e-07	0.000122245960265621	EPHB6;EPHA5;ROBO2;PLEKHG4;BDNF;SEMA3D;SEMA6D;SEMA3A;WNT5A;SEMA3F;VEGFA;EFNB2;ENAH;KLF7;ALCAM;CXCL12;PLXNC1;SLIT2;EPHB2;EPHB1
Skeletal System Development (GO:0001501)	20/149	6.90729800386891e-07	0.000122245960265621	PTGER4;COL27A1;DLX5;WNT5A;NPR3;STC1;PRELP;SULF1;SULF2;COMP;BMP2;EVC;WNT11;FRZB;ALX4;ALPL;ITGB8;CMKLR1;TGM2;FBN1
Regulation Of Angiogenesis (GO:0045765)	24/205	7.14888656524101e-07	0.000122245960265621	FOXC1;PTGIS;ANXA3;ROCK2;WNT5A;ATP2B4;VEGFC;NRG1;ISM1;SULF1;THBS2;HSPG2;FGF2;AQP1;VEGFA;SFRP1;IL6;RGCC;GPNMB;ADAMTS1;HMOX1;ITGB8;ANGPTL4;SASH1
Positive Regulation Of Macromolecule Metabolic Process (GO:0010604)	34/364	8.8497602360999e-07	0.000143366115824818	PRKAA1;SLC24A3;ROCK2;RPL11;LEF1;TNC;RBPJ;CLU;FGF2;DLL1;UXT;C1QTNF1;RPS3;ITGB8;EPHB2;NTSR1;EGR1;NTRK2;SMAD3;ANGPT1;WNT5A;WNT16;FER1L6;VEGFA;PLSCR1;BMP2;IL6;RGCC;PSG4;ID2;TMEM119;ATM;GAS6;TLR4
