Term	Overlap	P.value	Adjusted.P.value	Genes
Coronavirus disease	30/232	2.93457119491379e-09	7.83530509041983e-07	NRP1;RPL10;C1R;RPL11;RPL10A;IFIH1;RPL36;RPS3;RPL38;JUN;RPL41;DDX58;MMP1;MX2;MMP3;MX1;ISG15;RPS28;IL6;OAS1;OAS2;OAS3;RPL37A;RPL27;RPS20;RPL26;FAU;IL6ST;RPL28;TLR4
Axon guidance	23/182	3.10381326147124e-07	4.1435907040641e-05	EPHB6;EPHA5;NTNG1;ROBO2;NRP1;ROCK2;SEMA3D;SEMA6D;SEMA3A;WNT5A;UNC5D;SEMA3F;RHOD;EFNB2;ENAH;CXCL12;RASA1;RAC2;SLIT3;PLXNC1;SLIT2;EPHB2;EPHB1
Focal adhesion	23/201	1.80693658727523e-06	0.000160817356267496	SHC4;JUN;TNXB;LAMA2;ROCK2;ITGA1;LAMA3;TNC;VEGFC;THBS2;MYLK;VEGFA;COMP;PDGFD;ITGA10;COL6A2;PDGFC;ITGA11;COL6A1;RAC2;ITGA8;ITGB8;FLNB
ECM-receptor interaction	14/88	4.31546591259413e-06	0.000288057349665658	TNXB;LAMA2;ITGA1;LAMA3;TNC;THBS2;HSPG2;COMP;COL6A2;ITGA10;COL6A1;ITGA11;ITGA8;ITGB8
Rheumatoid arthritis	13/93	3.92887348520225e-05	0.00187200931991112	IL11;ATP6V0B;JUN;ANGPT1;MMP1;MMP3;CXCL1;ICAM1;VEGFA;IL6;CXCL12;CTSL;TLR4
TGF-beta signaling pathway	13/94	4.40668700313015e-05	0.00187200931991112	SMAD3;SMURF2;FST;SMAD9;RGMB;LTBP1;GREM2;BMP2;ID2;ID1;ID3;NBL1;FBN1
Human papillomavirus infection	28/331	4.90788960276322e-05	0.00187200931991112	PTGER4;TNXB;LAMA2;LAMA3;TNC;RBPJ;PTGS2;THBS2;OASL;COMP;WNT11;ITGB8;WNT2;ATP6V0B;MX2;WNT5A;ITGA1;MX1;ISG15;AXIN2;WNT16;VEGFA;ITGA10;COL6A2;ITGA11;COL6A1;ITGA8;ATM
PI3K-Akt signaling pathway	29/354	6.45323429138512e-05	0.00215376694474978	PRKAA1;TNXB;LAMA2;IRS1;LAMA3;TNC;THBS2;FGF2;COMP;PDGFD;PDGFC;ITGB8;NTRK2;ANGPT1;BDNF;ITGA1;VEGFC;GNG12;VEGFA;IL6;ITGA10;COL6A2;DDIT4;KIT;ITGA11;COL6A1;ITGA8;IL7R;TLR4
Protein digestion and absorption	13/103	0.000115274719373096	0.00303452629122246	COL27A1;MME;ELN;COL11A1;COL12A1;SLC3A2;SLC1A5;ATP1B1;DPP4;COL3A1;COL6A2;COL6A1;COL8A1
Hypertrophic cardiomyopathy	12/90	0.000123152470091215	0.00303452629122246	PRKAA1;IL6;LAMA2;CACNA2D1;ITGA10;ITGA1;ITGA11;ATP2A3;CACNA2D3;ITGA8;ITGB8;SGCG
Arrhythmogenic right ventricular cardiomyopathy	11/77	0.000125017937091562	0.00303452629122246	LAMA2;CACNA2D1;ITGA10;ITGA1;LEF1;ITGA11;ATP2A3;CACNA2D3;ITGA8;ITGB8;SGCG
