Term	Overlap	P.value	Adjusted.P.value	Genes
Epithelial Mesenchymal Transition	61/200	7.51489829135722e-39	3.75744914567861e-37	ELN;COL12A1;TNC;CXCL1;FGF2;MYLK;LOXL2;COMP;RGS4;CDH6;ANPEP;PMEPA1;TIMP1;SGCG;TGM2;POSTN;MMP1;IGFBP3;WNT5A;IGFBP2;MMP3;PLAUR;SFRP1;COL6A2;ADAM12;GAS1;SCG2;LRRC15;NNMT;LAMA2;COL11A1;LAMA3;THBS2;NID2;FBLN2;FBLN5;ABI3BP;SPOCK1;SLIT3;SLIT2;MEST;IL32;JUN;VCAM1;GADD45B;CADM1;PRRX1;GADD45A;BDNF;TFPI2;VEGFC;VEGFA;COL3A1;IL6;CXCL12;ID2;MGP;PMP22;TGFBI;SNTB1;FBN1
Interferon Gamma Response	41/200	2.53492271089576e-19	6.33730677723939e-18	SAMD9L;CFH;C1R;IFI35;IFIT1;IFI30;PTGS2;IFIT3;IFI44L;IFIT2;ICAM1;OASL;HELZ2;IFIH1;MT2A;EPSTI1;UPP1;HERC6;CMKLR1;VCAM1;RSAD2;SP110;DDX58;MX2;MX1;IFI44;PLA2G4A;ISG15;PARP14;PARP12;BST2;ISG20;PLSCR1;IL6;IFI27;OAS2;OAS3;SSPN;IRF7;SERPING1;CMPK2
Interferon Alpha Response	28/97	9.32431505192808e-18	1.55405250865468e-16	IFITM1;SAMD9L;SAMD9;IFI35;IFI30;IFIT3;IFI44L;IFIT2;OASL;HELZ2;IFIH1;EPSTI1;HERC6;RSAD2;SP110;MX1;IFI44;ISG15;PARP14;PARP9;PARP12;BST2;ISG20;PLSCR1;IFI27;OAS1;IRF7;CMPK2
TNF-alpha Signaling via NF-kB	35/200	1.80190377672739e-14	2.25237972090924e-13	PTGER4;CEBPB;PFKFB3;TNC;CXCL1;PTGS2;ICAM1;IFIT2;IFIH1;KYNU;PMEPA1;IER3;EGR1;DUSP5;JUN;SERPINB2;SMAD3;GADD45B;GADD45A;DUSP1;DDX58;PLK2;LIF;PLAUR;VEGFA;PER1;RCAN1;IL6;BMP2;NR4A3;ID2;CLCF1;KLF9;IL6ST;IL7R
UV Response Dn	28/144	5.18296081744756e-13	4.72489561204884e-12	PTGFR;NRP1;IRS1;COL11A1;GCNT1;ADD3;LTBP1;RND3;FBLN5;RGS4;EFEMP1;HAS2;SMAD3;IGFBP5;BDNF;DUSP1;PRKCE;ATP2B4;NR1D2;SYNJ2;COL3A1;PLCB4;SCN8A;DLC1;ID1;KIT;PMP22;MT1E
Hypoxia	33/200	5.66987473445861e-13	4.72489561204884e-12	SRPX;TES;PFKFB3;SLC2A1;STC1;ADM;AK4;GLRX;RBPJ;MT2A;PRDX5;STC2;GPC3;PDK3;HMOX1;IER3;TGM2;JUN;DUSP1;IGFBP3;PLAUR;MIF;VEGFA;ISG20;KLF7;IL6;DDIT3;DDIT4;ALDOC;ANGPTL4;TGFBI;CHST2;MT1E
Estrogen Response Early	29/200	3.58668999001084e-10	2.56192142143631e-09	FOXC1;SLC24A3;SLC2A1;ADD3;TSKU;SLC7A2;CALB2;UGCG;CYP26B1;STC2;FLNB;TGM2;OPN3;ZNF185;MYOF;GFRA1;RHOD;DHRS2;MED13L;SLC7A5;KRT19;ADCY9;CXCL12;SYT12;DLC1;IL6ST;NBL1;PTGES;FKBP5
Inflammatory Response	28/200	1.62996323900759e-09	9.05535132781994e-09	PTGER4;IFITM1;CD82;ADM;SGMS2;AHR;SLC4A4;SLC7A2;ICAM1;GPC3;HAS2;ITGB8;BDKRB1;CD14;TIMP1;KCNJ2;CMKLR1;IL1R1;TNFSF15;LIF;PLAUR;DCBLD2;BST2;IL6;AXL;IRF7;IL7R;CHST2
KRAS Signaling Up	28/200	1.62996323900759e-09	9.05535132781994e-09	NRP1;SPON1;ABCB1;GYPC;CFH;PLAT;GLRX;PTGS2;TMEM100;IL1RL2;GPNMB;PRKG2;APOD;EPHB2;CMKLR1;ST6GAL1;GALNT3;PRRX1;IGFBP3;LIF;PLAUR;MMP10;DCBLD2;BMP2;TMEM158;ID2;ANGPTL4;IL7R
Estrogen Response Late	25/200	1.18759260338137e-07	5.39814819718806e-07	TOP2A;FOXC1;SLC24A3;ADD3;CYP26B1;PERP;FLNB;CKB;MEST;OPN3;MYOF;TFPI2;ATP2B4;DHRS2;ISG20;SLC7A5;KRT19;CXCL12;FABP5;ID2;KIF20A;IL6ST;NBL1;PTGES;FKBP5
Myogenesis	25/200	1.18759260338137e-07	5.39814819718806e-07	CHRNA1;LAMA2;AEBP1;FGF2;CLU;MYLK;STC2;APOD;CKB;SGCG;KCNH1;NQO1;PTGIS;GADD45B;GPX3;IGFBP3;FST;SORBS1;SOD3;COL3A1;ADCY9;COL6A2;ADAM12;SSPN;CRYAB
Coagulation	20/138	1.95536097521277e-07	8.14733739671989e-07	SERPINB2;CFH;F10;MMP1;C1R;TFPI2;MMP3;PLAT;CRIP2;GNG12;CLU;MMP10;COMP;DPP4;KLF7;SERPING1;TIMP1;A2M;LGMN;FBN1
Complement	23/200	1.6571400029838e-06	5.91835715351357e-06	DUSP5;CPM;CEBPB;SERPINB2;CFH;F10;C1R;TFPI2;PLAUR;PLA2G4A;PLAT;CXCL1;CLU;ATOX1;DPP4;PLSCR1;IL6;CTSL;KYNU;IRF7;SERPING1;TIMP1;LGMN
mTORC1 Signaling	23/200	1.6571400029838e-06	5.91835715351357e-06	TES;SDF2L1;IGFBP5;SHMT2;TXNRD1;PLK1;SLC2A1;STC1;AK4;GLRX;SLC7A11;SLC1A5;IFI30;ADD3;HSPE1;SYTL2;SLC7A5;FADS2;DDIT3;CTH;DDIT4;PSPH;LGMN
Apoptosis	18/161	3.21221947132793e-05	0.000107073982377598	TOP2A;JUN;GADD45B;GADD45A;GPX3;LEF1;PLAT;CLU;ISG20;BMP2;IL6;DDIT3;CTH;DPYD;HMOX1;CD14;TIMP1;IER3
TGF-beta Signaling	9/54	0.000153993789769031	0.000481230593028223	BMP2;SMAD3;SMURF2;ID2;ID1;PMEPA1;ID3;LTBP2;TRIM33
Apical Surface	8/44	0.000190831563805706	0.0005612693053109	NTNG1;SRPX;ATP8B1;PLAUR;GAS1;LYPD3;DCBLD2;SULF2
Cholesterol Homeostasis	10/74	0.000399067424563984	0.00110852062378884	FADS2;PLSCR1;ALCAM;FABP5;PLAUR;PDK3;ALDOC;CLU;CPEB2;LGMN
IL-2/STAT5 Signaling	18/199	0.000476349147779092	0.00120415526146655	ITIH5;NRP1;GABARAPL1;ABCB1;GADD45B;LIF;AHR;SLC1A5;IKZF2;SOCS2;PLSCR1;BMP2;ALCAM;SYT11;SCN9A;COL6A1;GALM;TGM2
Xenobiotic Metabolism	18/200	0.000505745209815949	0.00120415526146655	NQO1;GABARAPL1;ARG2;F10;IL1R1;MAOA;SHMT2;SMOX;SLC1A5;ALDH3A1;MT2A;NPC1;ID2;KYNU;LONP1;HMOX1;UPP1;PTGES
Glycolysis	18/200	0.000505745209815949	0.00120415526146655	IGFBP3;STC1;AK4;GLRX;MIF;VEGFA;ISG20;STC2;CTH;DDIT4;GPC3;PDK3;KIF20A;ANGPTL4;TGFBI;POLR3K;CHST2;IER3
