Term	Overlap	P.value	Adjusted.P.value	Genes
Adipogenesis WP236	24/131	8.86411653977255e-11	5.28301345770444e-08	NCOA2;MBNL1;CEBPB;SMAD3;PTGIS;GADD45B;IRS1;GADD45A;EBF1;HMGA1;LIF;AHR;MIF;KLF15;KLF7;IL6;BMP2;CYP26B1;FRZB;DDIT3;PNPLA3;ID3;SPOCK1;IL6ST
Development Of Ureteric Derived Collecting System WP5053	15/60	3.51568708867487e-09	1.04767475242511e-06	ROBO2;FOXC1;EYA1;FST;GREB1L;CRIM1;GFRA1;PBX1;BMP2;WNT11;SIX2;ITGA8;GPC3;SPRY1;SLIT2
Nuclear Receptors Meta Pathway WP2882	35/314	7.69481772222079e-09	1.5287037874812e-06	ABCB1;AMIGO2;SLC2A1;SLC7A11;AHR;PTGS2;SERTAD2;ANKRD1;HMOX1;SLC39A4;SRGN;EGR1;IL11;NCOA2;NQO1;JUN;SERPINB2;GADD45B;GPX3;PLK2;TSC22D3;TXNRD1;MYOF;SLC39A10;NRG1;SOD3;SLC7A5;ALDH3A1;NAV3;B3GNT5;AHRR;SPRY1;ANGPTL4;MFGE8;FKBP5
Glucocorticoid Receptor Pathway WP2880	15/70	3.37349356123405e-08	5.02650540623873e-06	SRGN;IL11;JUN;GADD45B;TSC22D3;PLK2;AMIGO2;PTGS2;NAV3;SERTAD2;B3GNT5;ANKRD1;SPRY1;ANGPTL4;MFGE8
Network Map Of SARS CoV 2 Signaling WP5115	28/254	3.04848474448931e-07	3.63379381543125e-05	IFITM1;CEBPB;CFH;C1R;IFI6;CXCL1;AHR;IFIT1;PTGS2;FGF2;IFI44L;IFIH1;CTSL;APOD;CD14;NPTX1;EGR1;JUN;DUSP1;IGFBP3;MX1;BST2;IL6;CXCL12;IFI27;OAS2;DDIT4;ATP13A3
Burn Wound Healing WP5055	14/74	4.95004423023249e-07	4.91704393536427e-05	FLG;SMAD3;MMP1;ELN;FST;TNC;CXCL1;ICAM1;VEGFA;IL6;CXCL12;TIMP1;TLR4;FBN1
Cytoplasmic Ribosomal Proteins WP477	14/88	4.31546591259413e-06	0.000367431097700872	RPL41;RPL10;RPL11;RPL10A;RPS28;RPL37A;RPL36;RPS3;RPL38;RPL27;RPS20;RPL26;FAU;RPL28
Focal Adhesion WP306	22/199	5.31328451786385e-06	0.000395839696580857	SHC4;JUN;TNXB;LAMA2;ROCK2;ITGA1;LAMA3;TNC;VEGFC;THBS2;MYLK;VEGFA;COMP;PDGFD;ITGA10;COL6A2;PDGFC;ITGA11;RAC2;ITGA8;ITGB8;FLNB
Pleural Mesothelioma WP5087	36/437	7.77094276166553e-06	0.000514609098439184	PRKAA1;LAMA2;LAMA3;LEF1;SLC2A1;ITPR3;CXCL1;SLC3A2;FGF2;CDH6;WNT11;ADAMTS1;PDGFD;PDGFC;TEAD1;WNT2;NTRK2;JUN;ANGPT1;BDNF;ITGA1;WNT5A;MMP3;KREMEN1;VEGFC;WNT16;CIT;VEGFA;SLC7A5;SFRP1;IL6;PLCB4;CXCL12;DDIT3;KIT;ATM
miRNA Targets In ECM And Membrane Receptors WP2911	7/22	1.0021704638671e-05	0.000597293596464793	COL3A1;TNXB;COL6A2;ITGA1;COL6A1;ITGA11;THBS2
Axon Guidance WP5289	12/72	1.27189450237811e-05	0.000646728434930863	ROBO2;ENAH;NRP1;CXCL12;RASA1;SEMA3A;WNT5A;SLIT3;UNC5D;SLIT2;EPHB1;RHOD
Prostaglandin And Leukotriene Metabolism In Senescence WP5122	8/31	1.3021377884514e-05	0.000646728434930863	PTGER4;PTGIS;IGFBP5;PLA2G4A;PTGS2;PLCB1;PTGS1;PTGES
Selenium Micronutrient Network WP15	13/86	1.67266623131809e-05	0.000766853133742757	GPX3;TXNRD1;DIO2;DIO3;PLAT;PTGS2;SOD3;ICAM1;PTGS1;PRDX5;IL6;KYNU;CTH
NOTCH1 Regulation Of Endothelial Cell Calcification WP3413	6/17	2.26091008116934e-05	0.000898334938917952	ITGA1;MGP;ALPL;PLAT;DLL1;VEGFA
Amplification And Expansion Of Oncogenic Pathways WP3678	6/17	2.26091008116934e-05	0.000898334938917952	POSTN;VCAM1;LEF1;TNC;WNT2;VEGFA
