module	r	BH_p
royalblue	-0.78	0.00018
white	-0.69	0.0027
lightyellow	-0.21	0.61
purple	-0.07	0.85
salmon	-0.29	0.41
greenyellow	0.42	0.19
skyblue	0.6	0.018
brown	0.11	0.77
red	0.36	0.28
pink	-0.22	0.6
green	-0.09	0.79
darkgrey	0.17	0.64
blue	0.22	0.6
magenta	0.35	0.28
midnightblue	0.16	0.65
cyan	0.19	0.62
darkturquoise	-0.16	0.64
orange	-0.01	0.96
turquoise	0.45	0.18
lightcyan	-0.06	0.86
grey60	0.44	0.18
tan	-0.27	0.47
lightgreen	0.4	0.19
darkgreen	0.01	0.96
darkorange	-0.13	0.7
black	0.41	0.19
yellow	0.29	0.41
darkred	-0.1	0.79
grey	-0.2	0.62
