gene	delta_BRONJ_vs_Control	signature_dir	failure_specific	abs_effect	failure_direction
MMP3	1.64	down	TRUE	1.64	up
FST	1.582	down	TRUE	1.582	up
PTGS2	1.332	down	TRUE	1.332	up
IL6	1.264	down	TRUE	1.264	up
CXCL1	1.25	down	TRUE	1.25	up
SERPING1	-1.219	up	TRUE	1.219	down
IGFBP5	-1.206	up	TRUE	1.206	down
ARHGEF28	-1.048	up	TRUE	1.048	down
TMEM171	1.039	down	TRUE	1.039	up
SFRP1	-1.032	up	TRUE	1.032	down
SLIT3	-1.032	up	TRUE	1.032	down
CYTL1	-0.966	up	TRUE	0.966	down
PARM1	-0.921	up	TRUE	0.921	down
ABI3BP	-0.876	up	TRUE	0.876	down
PLK2	0.827	down	TRUE	0.827	up
ANGPT1	-0.826	up	TRUE	0.826	down
PCDH9	-0.812	up	TRUE	0.812	down
BMP2	-0.749	up	TRUE	0.749	down
ST6GAL1	-0.742	up	TRUE	0.742	down
LIMCH1	-0.734	up	TRUE	0.734	down
NRROS	-0.727	up	TRUE	0.727	down
NQO1	0.713	down	TRUE	0.713	up
LYPD6B	0.711	down	TRUE	0.711	up
LAMA3	0.704	down	TRUE	0.704	up
EBF1	-0.696	up	TRUE	0.696	down
PTK2B	-0.693	up	TRUE	0.693	down
GPX3	-0.688	up	TRUE	0.688	down
MME	-0.662	up	TRUE	0.662	down
TWIST2	-0.655	up	TRUE	0.655	down
GAS6	-0.655	up	TRUE	0.655	down
SEMA3D	0.645	down	TRUE	0.645	up
MFAP4	-0.645	up	TRUE	0.645	down
GALNT10	-0.63	up	TRUE	0.63	down
SNCAIP	-0.627	up	TRUE	0.627	down
SLC7A11	0.616	down	TRUE	0.616	up
COL3A1	-0.609	up	TRUE	0.609	down
PDE1C	0.609	down	TRUE	0.609	up
SPON1	-0.608	up	TRUE	0.608	down
GYPC	-0.606	up	TRUE	0.606	down
LEF1	-0.601	up	TRUE	0.601	down
INMT	-0.595	up	TRUE	0.595	down
P4HA3	-0.588	up	TRUE	0.588	down
PRKG2	0.58	down	TRUE	0.58	up
CRABP2	-0.579	up	TRUE	0.579	down
ID1	0.574	down	TRUE	0.574	up
SCARA3	-0.573	up	TRUE	0.573	down
SORBS1	-0.571	up	TRUE	0.571	down
FBLN5	-0.566	up	TRUE	0.566	down
PDGFD	-0.56	up	TRUE	0.56	down
COL12A1	0.559	down	TRUE	0.559	up
HS3ST3B1	-0.556	up	TRUE	0.556	down
ATP1B1	-0.555	up	TRUE	0.555	down
DIO3	-0.531	up	TRUE	0.531	down
PLXDC2	-0.521	up	TRUE	0.521	down
DNASE1L1	0.511	down	TRUE	0.511	up
SERPINB2	0.504	down	TRUE	0.504	up
CSGALNACT1	-0.502	up	TRUE	0.502	down
PER1	-0.501	up	TRUE	0.501	down
AXIN2	-0.501	up	TRUE	0.501	down
RFTN2	-0.499	up	TRUE	0.499	down
GPC3	-0.499	up	TRUE	0.499	down
