gene	jaw_weak_direction_consistent	abs_jaw_effect	jaw_log2FC_human	jaw_log2FC_mouse	n_sources	in_core
PTGIS	TRUE	2.447055	2.447055	NA	1	FALSE
ANKRD1	TRUE	2.42137666666667	-2.42137666666667	NA	1	FALSE
LIMCH1	TRUE	2.18989833333333	-2.18989833333333	NA	1	FALSE
ZNF521	TRUE	2.15548166666667	2.15548166666667	NA	1	FALSE
KYNU	TRUE	2.03760333333333	2.03760333333333	NA	1	FALSE
ANKRD29	TRUE	1.856955	1.856955	NA	1	FALSE
RGS4	TRUE	1.76619166666667	-1.76619166666667	NA	1	FALSE
CPXM2	TRUE	1.736885	1.736885	NA	1	FALSE
LAMA3	TRUE	1.73045666666667	1.73045666666667	NA	1	FALSE
COMP	TRUE	1.66512666666667	-1.66512666666667	NA	1	FALSE
MKX	TRUE	1.60775333333333	1.60775333333333	NA	1	FALSE
COLEC12	TRUE	1.58055	1.58055	NA	1	FALSE
SEMA3A	TRUE	1.514145	1.514145	NA	1	FALSE
NTNG1	TRUE	1.46439833333333	1.46439833333333	NA	1	FALSE
SAMD5	TRUE	1.43400833333333	1.43400833333333	NA	1	TRUE
SYTL2	TRUE	1.33681166666666	1.33681166666666	NA	1	FALSE
PARP14	TRUE	1.29383666666667	1.29383666666667	NA	1	FALSE
PTGFR	TRUE	1.27900666666667	1.27900666666667	NA	1	FALSE
SULF2	TRUE	1.26494333333333	1.26494333333333	NA	1	FALSE
SEMA3D	TRUE	1.26418833333333	1.26418833333333	NA	1	FALSE
FAM107B	TRUE	1.18260666666667	1.18260666666667	NA	1	FALSE
PLXNC1	TRUE	1.16153333333333	1.16153333333333	NA	1	FALSE
SIPA1L2	TRUE	1.161365	1.161365	NA	1	TRUE
EYA1	TRUE	1.13321	1.13321	NA	1	FALSE
SOCS2	TRUE	1.12851333333333	1.12851333333333	NA	1	FALSE
KCNJ2	TRUE	1.07297333333333	1.07297333333333	NA	1	FALSE
GULP1	TRUE	1.06951333333333	1.06951333333333	NA	1	FALSE
ITGA8	TRUE	1.063465	1.063465	NA	1	FALSE
ARHGEF28	TRUE	1.05330833333333	-1.05330833333333	NA	1	FALSE
PHKA1	TRUE	1.021055	-1.021055	NA	1	FALSE
PLA2G4A	TRUE	1.01906666666667	1.01906666666667	NA	1	FALSE
PBX1	TRUE	1.01502666666667	1.01502666666667	NA	1	FALSE
RALGPS2	TRUE	0.998193333333332	0.998193333333332	NA	1	FALSE
TES	TRUE	0.997135000000001	-0.997135000000001	NA	1	FALSE
CXCL1	TRUE	0.991348333333332	0.991348333333332	NA	1	FALSE
SH2D4A	TRUE	0.989131666666666	0.989131666666666	NA	1	FALSE
