dataset	sample	group	osteo_score
GSE99958	PDLC	control	-1.06797852017968
GSE99958	PDLC-D3	osteo	0.23360657373239
GSE99958	PDLC-D7	osteo	0.335649075305047
GSE99958	PDLC-D14	osteo	0.49872287114224
GSE226347_DPSC	1	control	-0.565236162924948
GSE226347_DPSC	2	control	-0.702852307927161
GSE226347_DPSC	3	control	-0.638653195892827
GSE226347_DPSC	4	osteo	0.902431243217195
GSE226347_DPSC	5	osteo	0.616896958994791
GSE226347_DPSC	6	osteo	0.387413464532953
GSE226347_GSC	1	control	-0.706822161485433
GSE226347_GSC	2	control	-0.521370606846591
GSE226347_GSC	3	control	-0.469312096745257
GSE226347_GSC	4	osteo	1.37919432861391
GSE226347_GSC	5	osteo	0.0416126725723222
GSE226347_GSC	6	osteo	0.276697863891043
GSE266257	1	control	-0.10864155640835
GSE266257	2	osteo	0.420392552609547
GSE266257	3	control	-0.351872803782383
GSE266257	4	osteo	0.0401218075811856
GSE49007	GSM1192065	control	-0.459133117164108
GSE49007	GSM1192066	control	-0.840393803990489
GSE49007	GSM1192067	osteo	0.486076471482378
GSE49007	GSM1192068	osteo	0.81345044967222
