sample	celltype	condition	POD	score
POD10_DO_BCSP1	BCSP	Distraction	10	-0.002
POD10_DO_BCSP2	BCSP	Distraction	10	-0.031
POD10_DO_SSC1	SSC	Distraction	10	-0.076
POD10_DO_SSC2	SSC	Distraction	10	-0.147
POD10_Fx_BCSP1	BCSP	Fracture	10	0.287
POD10_Fx_BCSP2	BCSP	Fracture	10	0.335
POD10_Fx_SSC1	SSC	Fracture	10	0.062
POD10_Fx_SSC2	SSC	Fracture	10	0.065
POD15_DO_BCSP1	BCSP	Distraction	15	-0.072
POD15_DO_BCSP2	BCSP	Distraction	15	0.047
POD15_DO_SSC1	SSC	Distraction	15	-0.036
POD15_DO_SSC2	SSC	Distraction	15	0.007
POD15_Fx_BCSP1	BCSP	Fracture	15	-0.086
POD15_Fx_BCSP2	BCSP	Fracture	15	-0.033
POD15_Fx_SSC1	SSC	Fracture	15	0.127
POD15_Fx_SSC2	SSC	Fracture	15	0.025
POD5_BCSP1	BCSP	NA	5	-0.038
POD5_BCSP2	BCSP	NA	5	-0.016
POD5_SSC1	SSC	NA	5	0.104
POD5_SSC2	SSC	NA	5	0.05
