pathway	strength_Control	strength_BRONJ	delta_BRONJ_minus_Control	is_focus
COLLAGEN	4.39923696302111	7.98372266410187	3.58448570108076	FALSE
SPP1	0.861532009272726	1.85783785352456	0.996305844251837	TRUE
APP	2.0952696220315	1.58689899099881	-0.50837063103269	FALSE
TGFb	1.29798352684881	0.876317293329576	-0.421666233519239	TRUE
THBS	1.96564087873872	1.62323895941146	-0.342401919327261	FALSE
PECAM1	0.637148928618114	0.366086880579854	-0.27106204803826	FALSE
MIF	1.2875282088284	1.08960256828466	-0.197925640543737	FALSE
CypA	1.93785029913974	1.74735434525432	-0.190495953885416	FALSE
CCL	0.286955972404933	0.473636015368211	0.186680042963278	FALSE
NCAM	0.241555808991627	0.0667594098708718	-0.174796399120756	FALSE
COMPLEMENT	0.430277298289725	0.261788604655113	-0.168488693634613	FALSE
IL1	0	0.145068534952972	0.145068534952972	FALSE
FN1	3.07486281620312	2.95332573804865	-0.121537078154472	FALSE
GALECTIN	1.13004266708212	1.24852853389267	0.118485866810547	FALSE
ANNEXIN	0.149451104967951	0.258398638416898	0.108947533448947	FALSE
PTN	0.0960909141674409	0	-0.0960909141674409	TRUE
LAMININ	1.66484387814289	1.58688716770535	-0.0779567104375374	FALSE
CD6	0	0.076380334219343	0.076380334219343	FALSE
TNF	0.260732359955682	0.333786108980177	0.0730537490244952	TRUE
Prostaglandin	0.455412824731359	0.384641191404972	-0.0707716333263866	FALSE
VISFATIN	0.232225124393325	0.170276047024935	-0.06194907736839	FALSE
SEMA4	0.167130319945951	0.107831089780597	-0.0592992301653542	FALSE
MK	0.0483979428938082	0	-0.0483979428938082	FALSE
PARs	0.152792707489712	0.108173329157347	-0.0446193783323649	FALSE
SELPLG	0.115805932164149	0.15812230027577	0.0423163681116214	FALSE
ADGRE	0.441193228002587	0.402115995207862	-0.039077232794725	FALSE
PLAU	0	0.0296835146115409	0.0296835146115409	FALSE
ICAM	0.252839494894083	0.279104850304001	0.0262653554099179	FALSE
GRN	0.0399789868494652	0.016543348425819	-0.0234356384236463	FALSE
VCAM	0.0394104344171918	0.0199027885494409	-0.0195076458677509	FALSE
BMP	0.0160770095921961	0	-0.0160770095921961	TRUE
CTSG	0.0290525730781572	0.0447889615357992	0.015736388457642	FALSE
ANGPTL	0.0277534344719298	0.0402214459006348	0.012468011428705	FALSE
ADGRG	0.106029436351448	0.093682714318104	-0.0123467220333444	FALSE
THY1	0	0.0120108193660734	0.0120108193660734	FALSE
SELL	0.0383661217462584	0.0272801425706077	-0.0110859791756506	FALSE
GAP	0.00559164282283079	0.0126098123841969	0.00701816956136609	FALSE
NOTCH	0.0461605565215384	0.0392029148526097	-0.00695764166892869	FALSE
PERIOSTIN	0.0155549260510669	0.00958557226019195	-0.00596935379087493	FALSE
CADM	0.0048807299623022	0	-0.0048807299623022	FALSE
CSF	0.0236171167691297	0.018840377775125	-0.00477673899400478	FALSE
Cholesterol	0.0115196428605698	0.00748381682342901	-0.00403582603714079	FALSE
DHEA	0.0037638099101473	0	-0.0037638099101473	FALSE
CD86	0.0195034618187876	0.0159420649751512	-0.00356139684363638	FALSE
TENASCIN	0.0883856085290882	0.0915921023156021	0.0032064937865139	FALSE
PTPRM	0.00732547173684256	0.00444636258393429	-0.00287910915290828	FALSE
EPHA	0.00227576763581379	0	-0.00227576763581379	FALSE
CSF3	0	0.0022443430510827	0.0022443430510827	FALSE
ADGRL	0	0.00218157466547904	0.00218157466547904	FALSE
ApoE	0.015210766286847	0.0130634304351826	-0.00214733585166434	FALSE
IL10	0	0.00213082915928869	0.00213082915928869	FALSE
EPHB	0.00184887929252538	0	-0.00184887929252538	FALSE
EDN	0	0.00170194592977933	0.00170194592977933	FALSE
OSM	0.00124366016520904	0.00291513190411997	0.00167147173891092	FALSE
NRXN	0.00250752635989266	0.00089749169883385	-0.00161003466105881	FALSE
NGL	0.00663848370481621	0.00505972729352626	-0.00157875641128994	FALSE
SEMA3	0.000764528392565516	0.00220703282234037	0.00144250442977486	FALSE
HGF	0.00910276797391671	0.00778587413408111	-0.0013168938398356	FALSE
NRG	0.0012292106012536	0	-0.0012292106012536	FALSE
CD80	0.00311210641595482	0.00420695482273331	0.00109484840677849	FALSE
BSP	0	0.0010465474806951	0.0010465474806951	FALSE
JAM	0.0137959461581813	0.0129167204230462	-0.000879225735135146	FALSE
CD39	0.00716220992903041	0.00643282510106161	-0.000729384827968796	FALSE
APRIL	0	0.000719335833583482	0.000719335833583482	FALSE
NECTIN	0.00142993800845175	0.000802531675457988	-0.000627406332993759	FALSE
KLK	0.00529037539658602	0.004871836898081	-0.000418538498505023	FALSE
CLDN	0.00373243058071206	0.00411159550670887	0.000379164925996808	FALSE
CX3C	0.000852117141778759	0.000498660514781668	-0.000353456626997091	FALSE
MPZ	0.000608853948521244	0.000259795174713247	-0.000349058773807997	FALSE
FLRT	0	0.000330548536689594	0.000330548536689594	FALSE
HSPG	0.0015733061119242	0.00187393165406976	0.000300625542145559	FALSE
Adenosine	0.00166818490207385	0.00141274887828512	-0.000255436023788737	FALSE
TWEAK	0.00141743544961788	0.00121003724500334	-0.000207398204614539	FALSE
ncWNT	0.000249190419755806	0.000304757703475766	5.55672837199599e-05	FALSE
PDGF	4.27066600308674e-05	0	-4.27066600308674e-05	TRUE
