gene	cell_type	is_dysregulated	abs_avg_log2FC	dataset
GM42418	Endothelial	TRUE	1.22393961628398	GSE295106
MT-ND2	Endothelial	TRUE	0.905699623302961	GSE295106
GM47283	Endothelial	TRUE	2.79295749959659	GSE295106
IGHA	Endothelial	TRUE	1.97615055337143	GSE295106
IGKC	Endothelial	TRUE	1.22558755739796	GSE295106
RPL9	Endothelial	TRUE	0.355794007911244	GSE295106
H2-D1	Endothelial	TRUE	0.609206753487233	GSE295106
B2M	Endothelial	TRUE	0.484907315785789	GSE295106
NGP	Endothelial	TRUE	0.439676436630045	GSE295106
CAMP	Endothelial	TRUE	0.291477410243448	GSE295106
LARS2	Endothelial	TRUE	1.09100432122713	GSE295106
CMSS1	Endothelial	TRUE	0.721471973471447	GSE295106
CXCL2	Endothelial	TRUE	0.985109723992847	GSE295106
SNRPF	Endothelial	TRUE	0.779826183835886	GSE295106
MT-ND4	Endothelial	TRUE	0.410127349300982	GSE295106
SAA3	Endothelial	TRUE	2.23745802914643	GSE295106
RBM3	Endothelial	TRUE	0.408710986593106	GSE295106
UBB	Endothelial	TRUE	0.490878248768357	GSE295106
RPS23	Endothelial	TRUE	0.307698203458378	GSE295106
TRAF1	Endothelial	TRUE	0.926615028562931	GSE295106
RPS3	Endothelial	TRUE	0.317364434067777	GSE295106
HBB-BS	Endothelial	TRUE	2.13906788625863	GSE295106
PFN1	Endothelial	TRUE	0.639111042105434	GSE295106
RPS18	Endothelial	TRUE	0.316214542094447	GSE295106
S100A8	Endothelial	TRUE	0.305140309972251	GSE295106
SLC7A11	Endothelial	TRUE	0.780964438586385	GSE295106
LYZ2	Endothelial	TRUE	0.488131954410598	GSE295106
ESD	Endothelial	TRUE	0.568700314610759	GSE295106
PLSCR1	Endothelial	TRUE	1.02802836286783	GSE295106
CEBPB	Endothelial	TRUE	0.840655570378	GSE295106
H3F3A	Endothelial	TRUE	0.275088588917859	GSE295106
IFITM1	Endothelial	TRUE	0.747507794611733	GSE295106
AMELX	Endothelial	TRUE	3.30836396090105	GSE295106
CCL4	Endothelial	TRUE	1.00945251705962	GSE295106
IL1A	Endothelial	TRUE	1.84439381195269	GSE295106
RGS2	Endothelial	TRUE	0.552269775871695	GSE295106
COX17	Endothelial	TRUE	0.843834062281126	GSE295106
OST4	Endothelial	TRUE	0.771549021480007	GSE295106
CXCL3	Endothelial	TRUE	1.83960169475993	GSE295106
SNHG6	Endothelial	TRUE	1.04716597020859	GSE295106
CSTB	Endothelial	TRUE	0.644774168751922	GSE295106
CUX1	Endothelial	TRUE	0.443837612586621	GSE295106
WFDC17	Endothelial	TRUE	1.06560708561756	GSE295106
ATXN2L	Endothelial	TRUE	0.868488580585248	GSE295106
PLAUR	Endothelial	TRUE	0.645534361387083	GSE295106
MIR22HG	Endothelial	TRUE	0.857286700172125	GSE295106
MT-ND1	Endothelial	TRUE	0.307520740743388	GSE295106
PAIP2	Endothelial	TRUE	0.427048998354913	GSE295106
JCHAIN	Endothelial	TRUE	2.31022735800225	GSE295106
SEM1	Endothelial	TRUE	0.357830428235894	GSE295106
NDUFB1-PS	Endothelial	TRUE	0.477356465500718	GSE295106
SOD2	Endothelial	TRUE	0.608798142909277	GSE295106
KDM6B	Endothelial	TRUE	0.486255051089523	GSE295106
SKI	Endothelial	TRUE	0.478340291600429	GSE295106
H3F3B	Endothelial	TRUE	0.34664954787559	GSE295106
FOXN3	Endothelial	TRUE	0.634057854424196	GSE295106
SELENOK	Endothelial	TRUE	0.482451574660767	GSE295106
LTF	Endothelial	TRUE	0.488249300172488	GSE295106
GM14636	Endothelial	TRUE	1.16760686301717	GSE295106
SNHG8	Endothelial	TRUE	0.521389191630734	GSE295106
RHEB	Endothelial	TRUE	0.487263732074246	GSE295106
NFKB1	Endothelial	TRUE	0.298128179006729	GSE295106
ATP5A1	Endothelial	TRUE	0.371446492834975	GSE295106
SLPI	Endothelial	TRUE	0.486741314085092	GSE295106
PSAP	Endothelial	TRUE	0.530095318011952	GSE295106
ACOD1	Endothelial	TRUE	0.70368574739079	GSE295106
MAPK14	Endothelial	TRUE	0.504059725054295	GSE295106
GM46224	Endothelial	TRUE	1.29863621769554	GSE295106
HBA-A1	Endothelial	TRUE	1.8377871266386	GSE295106
TNFAIP3	Endothelial	TRUE	0.419065166641433	GSE295106
ERN1	Endothelial	TRUE	0.510446797044391	GSE295106
CLEC4D	Endothelial	TRUE	0.835443215170625	GSE295106
1810037I17RIK	Endothelial	TRUE	0.60518496707765	GSE295106
RFTN1	Endothelial	TRUE	0.816520161366569	GSE295106
PRKCE	Endothelial	TRUE	0.76282134455255	GSE295106
EIF4B	Endothelial	TRUE	0.491935933490932	GSE295106
COL2A1	Endothelial	TRUE	0.754817625037007	GSE295106
EBF1	Endothelial	TRUE	1.05334023110439	GSE295106
VAV3	Endothelial	TRUE	0.555332853810822	GSE295106
BLNK	Endothelial	TRUE	1.59859196334983	GSE295106
CLEC4E	Endothelial	TRUE	0.822272468534905	GSE295106
PIM1	Endothelial	TRUE	0.428918898096487	GSE295106
TKT	Endothelial	TRUE	0.40993598709996	GSE295106
MT-ND5	Endothelial	TRUE	0.327580444898619	GSE295106
RETNLG	Endothelial	TRUE	0.509187915511746	GSE295106
PPP3CA	Endothelial	TRUE	0.359312978253392	GSE295106
1700017B05RIK	Endothelial	TRUE	0.574570935006849	GSE295106
CARD19	Endothelial	TRUE	0.451414773117098	GSE295106
ASPRV1	Endothelial	TRUE	1.1210482032464	GSE295106
KCNN4	Endothelial	TRUE	0.44952800412483	GSE295106
STX11	Endothelial	TRUE	0.604344935788365	GSE295106
COX7C	Endothelial	TRUE	0.358000201457918	GSE295106
HAVCR2	Endothelial	TRUE	0.916790438769963	GSE295106
RPL22L1	Endothelial	TRUE	0.302600521708261	GSE295106
MT-ATP8	Endothelial	TRUE	1.19381980858749	GSE295106
ELOC	Endothelial	TRUE	0.554534430452404	GSE295106
RBM17	Endothelial	TRUE	0.588083667348917	GSE295106
PHLDA1	Endothelial	TRUE	0.589125223853213	GSE295106
S100A10	Endothelial	TRUE	0.398433686121404	GSE295106
THBS1	Endothelial	TRUE	1.11072267886824	GSE295106
SOD1	Endothelial	TRUE	0.390402690884916	GSE295106
PAG1	Endothelial	TRUE	0.626627700983475	GSE295106
CDK8	Endothelial	TRUE	0.607348365731436	GSE295106
UBXN4	Endothelial	TRUE	0.371466149394086	GSE295106
GM15564	Endothelial	TRUE	1.56795024430204	GSE295106
PTK2B	Endothelial	TRUE	0.405776798307338	GSE295106
EEF1G	Endothelial	TRUE	0.317659450587234	GSE295106
RPA3	Endothelial	TRUE	1.22534609176214	GSE295106
IL17RA	Endothelial	TRUE	0.533288554898794	GSE295106
TMEM128	Endothelial	TRUE	0.693455486590881	GSE295106
H2-T23	Endothelial	TRUE	0.778500735131507	GSE295106
