gene	b_osteoporosis	pval	padj_op	b_eBMD	padj_eBMD	concordant_opposite_sign
A2M	0.0423040707334717	0.610426915687916	0.923433553822231	0.00235520348145708	0.886385133424402	FALSE
ABCA6	0.0908976020266555	0.748576296965497	0.969791455963216	0.0124094929556259	0.835649341111615	FALSE
ABCB1	0.233566889562007	0.1454533383825	0.743933220268829	-0.000215762291441108	0.991532003860494	TRUE
ABI3BP	-0.185287086729434	0.294572470352919	0.831371455915212	0.0681356538061972	0.00907068635578209	TRUE
ACPP	-0.0511506147848124	0.285515758225248	0.831371455915212	0.00546098497606227	0.575354004099951	TRUE
ADAM12	0.152068263106509	0.198053642275475	0.757533981045616	-0.00139225979762847	0.949448513554606	TRUE
ADAMTS1	0.00868066223234994	0.894559509766441	0.980727330058644	-0.00185249364038821	0.886385133424402	TRUE
ADAMTS2	-0.0435652300498928	0.653976923126545	0.923433553822231	-0.00391942327371347	0.848933368564133	FALSE
ADAMTSL4	-0.0021218003878085	0.964142294960827	0.982710954271878	-0.0110065443046599	0.167765456797507	FALSE
ADARB1	-0.00510495350874985	0.943680551584117	0.980727330058644	0.00974924993524398	0.484877661055219	TRUE
ADCY9	-0.0290323611911483	0.580357420733056	0.923433553822231	0.00111269146731888	0.914369703605782	TRUE
ADD3	-0.0498811310628712	0.375465056345208	0.864391968869877	0.0243636813356811	0.00296640106747844	TRUE
ADM	-0.040577840693393	0.373448416841607	0.864391968869877	0.00963960936747736	0.217220522433953	TRUE
ADPRHL1	-0.585236467898565	0.00526176070447838	0.234865864172626	0.00937094158810182	0.835649341111615	TRUE
ADRA2A	0.306171662504407	0.319670105241522	0.861406787268786	-0.0962007670689699	0.0444425053390893	TRUE
AEBP1	0.0135041100986595	0.859885848898577	0.980727330058644	-0.0107854816002299	0.447660860179317	TRUE
AFAP1	-0.0511216764432014	0.0351173388838181	0.563813496917421	0.00254059876071884	0.613130921705816	TRUE
AHCTF1	0.00578835343779937	0.913245598822363	0.980727330058644	0.00969776048969465	0.294306768209833	FALSE
AHR	0.0782360976219647	0.241137010163039	0.815633708024626	0.00917935537388541	0.464021213552728	FALSE
AHRR	-0.137531816968687	0.230997595099225	0.795873976295425	0.0234229088114604	0.235754746374203	TRUE
AK4	-0.094000544421937	0.285013157394935	0.831371455915212	0.00589267125986239	0.741979314891994	TRUE
AK5	-0.0197621620358361	0.63908485791823	0.923433553822231	-0.00434967886595303	0.780103920098416	FALSE
