gene	nsnp_preclump	nsnp	method	b	se	pval	egger_int_p	direction_signature
GREM2	39	3	IVW	-0.0130189050230912	0.0122395258182835	0.287474939084319	5.79847281301227e-11	down
SRGN	960	2	IVW	-0.0216815508398589	0.00702458395613982	0.00202511222618734		up
WNT16	69	1	Wald	-0.565175041499841	0.0299389383516349	1.74358351502825e-79		up
KREMEN1	452	2	IVW	-0.0849275583477099	0.00584417525854663	7.59688844892269e-48		down
MGP	402	1	Wald	-0.0637292888996954	0.00952568666374922	2.22779479439862e-11		up
SMAD3	397	2	IVW	0.0527339452781277	0.0103438204383504	3.43059555424323e-07		down
HSPG2	381	3	IVW	-0.0284481534256732	0.00493826611787356	8.37372896372294e-09	0.618849437031968	down
TLR4	1418	7	IVW	0.00662997398940835	0.00431234722700096	0.124185661599533	0.942138397963554	up
LOXL2	639	3	IVW	-0.000386284322767104	0.00513325938045904	0.940014786949049	0.143947986075788	down
PDGFD	621	3	IVW	0.00858658433953536	0.00863245056421282	0.319888632644544	0.791932872759836	up
IRS1	773	3	IVW	-0.00402987700310537	0.00741444334752187	0.58677379666041	0.0102381088293591	down
