drug	n_sig	mean_score
mitoxantrone	3	0.083
manumycin A	2	0.072
dexamethasone	2	0.084
halometasone	2	0.084
IOPANIC ACID	2	0.084
CLOBETASOL PROPIONATE	1	0.069
Flurandrenolide	1	0.069
TG101348	1	0.069
TL_HRAS26	1	0.069
TRIAMCINOLONE	1	0.069
vorinostat	1	0.069
BETAMETHASONE 17,21-DIPROPIONATE	1	0.075
BUDESONIDE	1	0.075
CGP-60474	1	0.075
dasatinib	1	0.075
desoximetasone	1	0.075
fluticasone	1	0.075
geldanamycin	1	0.075
Halcinonide	1	0.075
NVP-TAE684	1	0.075
QUINACRINE HYDROCHLORIDE	1	0.075
BETAMETHASONE	1	0.081
BX-795	1	0.081
linifanib	1	0.081
TRIAMCINOLONE DIACETATE	1	0.081
Camptothecine (S,+)	1	0.088
cercosporin	1	0.088
L-690,330	1	0.088
Ro 31-8220 mesylate	1	0.088
tropisetron hcl	1	0.088
Fluticasone propionate	1	0.094
