gene_name	drug_name	interaction_source_db_name	interaction_score
F10	GDC-0339	GuideToPharmacology	0.3571950424196904
F10	SGI-1776	GuideToPharmacology	0.2143170254518143
GCNT1	PINOMETOSTAT	GuideToPharmacology	3.500511415712966
F10	IDRAPARINUX	TdgClinicalTrial	1.071585127259071
IRS1	PRASTERONE	NCI	0.7292732116068681
F10	NONACOG ALFA	TdgClinicalTrial	0.5357925636295356
EPS8	COMPOUND 20 [PMID: 30998356]	GuideToPharmacology	0.2778183663264259
EPS8	GSK2646264	GuideToPharmacology	0.2778183663264259
EPS8	JAK3 INHIBITOR VI	GuideToPharmacology	2.500365296937833
PMP22	KETOPROFEN	DTC	3.750547945406749
F10	NULL	TdgClinicalTrial	NULL
F10	NULL	TTD	NULL
DUSP1	COMPOUND 4 [PMID: 26191369]	GuideToPharmacology	3.500511415712966
F10	BETRIXABAN	ChEMBL	1.607377690888607
LOXL2	SIMTUZUMAB	ChEMBL	52.50767123569449
IRS1	AGANIRSEN	TdgClinicalTrial	6.563458904461812
IRS1	FLUOROURACIL	PharmGKB	0.1103102336884338
EDNRB	BOSENTAN ANHYDROUS	TdgClinicalTrial	3.750547945
F10	RIVAROXABAN	TTD	0.595325071
EPS8	LRRK2-IN-1	GuideToPharmacology	2.500365296937833
EPS8	JH-XII-03-02	GuideToPharmacology	2.500365296937833
EPS8	XL01126	GuideToPharmacology	2.500365296937833
F10	HEPARIN	TEND	0.06697407
TLR4	ERITORAN TETRASODIUM	ChEMBL	1.141471113819445
LOXL2	PAT-1251	ChEMBL	26.25383561784724
F10	RIVAROXABAN	DTC	0.595325071
F10	COAGULATION FACTOR X, HUMAN	TTD	1.071585127259071
F10	ANDEXANET ALFA	TTD	0.5357925636295356
EPS8	GNE-9605	GuideToPharmacology	2.500365296937833
F10	LETAXABAN	ChEMBL	2.143170254518142
GREM2	ALLOPURINOL	PharmGKB	3.500511415712966
TLR4	ERITORAN	TdgClinicalTrial	4.565884455277782
EDNRB	AMBRISENTAN	TEND	2.250328767244049
TLR4	PARIDIPRUBART	TTD	2.282942227638891
TLR4	DEHYDRATED ALCOHOL	NCI	0.057796006
IRS1	DEHYDRATED ALCOHOL	NCI	0.1661635165686534
TLR4	ERITORAN	TTD	4.565884455277782
TLR4	NEOCEPTIN-3	GuideToPharmacology	1.141471113819445
F10	COAGULATION FACTOR VIIA (RECOMBINANT)-JNCW	TdgClinicalTrial	1.071585127259071
HIVEP1	SOS1 PROTAC 9D	GuideToPharmacology	10.50153424713889
F10	COAGULATION FACTOR IX	TdgClinicalTrial	3.214755381777214
EDNRB	PACLITAXEL	NCI	0.069454592
F10	VON WILLEBRAND FACTOR	TEND	0.5357925636295356
F10	SEMULOPARIN	TTD	1.071585127259071
F10	SSR-126517E	TTD	1.071585127259071
ADCY9	CHEMBL:CHEMBL401844	DTC	5.250767123569449
IRS1	INOSITOL	NCI	0.8751278539282417
F10	VON WILLEBRAND FACTOR	TdgClinicalTrial	0.5357925636295356
EDNRB	SOVATELTIDE	TdgClinicalTrial	2.500365296937833
EPS8	GNE-7915	GuideToPharmacology	1.250182648468916
F10	LGB321	GuideToPharmacology	0.3571950424196904
DUSP1	NAPORAFENIB	GuideToPharmacology	0.4375639269641208
F10	OTAMIXABAN	ChEMBL	0.7143900848393808
DUSP1	DDR1/2 INHIBITOR 5N	GuideToPharmacology	0.2692701089009974
EDNRB	DARUSENTAN	ChEMBL	1.250182648468916
F10	BEMIPARIN	ChEMBL	1.071585127259071
ADCY9	ANTIDEPRESSANT AGENT	PharmGKB	0.4039051633514962
TLR4	ADJUVANT	NCI	0.3043922970185188
TLR4	PERTUSSIS VACCINE	PharmGKB	6.848826682916673
F10	AZD1208	GuideToPharmacology	0.2143170254518143
TLR4	GSK1795091	GuideToPharmacology	4.565884455277782
F10	EP-217609	TdgClinicalTrial	1.071585127259071
F10	EP-217609	TTD	1.071585127259071
F10	LETAXABAN	TdgClinicalTrial	2.143170254518142
F10	EMICIZUMAB	TTD	0.5357925636295356
EDNRB	ENDOTHELIN-1	TTD	1.250182648468916
F10	APIXABAN	TTD	0.5357925636295356
F10	THROMBIN	TdgClinicalTrial	0.04464938
TLR4	NULL	TTD	NULL
EDNRB	BQ788	TTD	1.875273972703375
DUSP1	NULL	TTD	NULL
F10	FONDAPARINUX	TTD	0.3571950424196904
F10	PIM447	GuideToPharmacology	0.2678962818147678
EPS8	HG-10-102-01	GuideToPharmacology	1.250182648468916
EDNRB	SITAXENTAN SODIUM	ChEMBL	1.875273972703375
TLR4	METHOTREXATE	PharmGKB	0.061150238
F10	BETRIXABAN	TTD	1.607377690888607
HIVEP1	BAY-293	GuideToPharmacology	10.50153424713889
TLR4	NELFINAVIR	NCI	0.760980743
EDNRB	BOSENTAN ANHYDROUS	ChEMBL	3.750547945
LOXL2	SIMTUZUMAB	TTD	52.50767123569449
F10	APIXABAN	ChEMBL	0.5357925636295356
PDGFD	CR002	TdgClinicalTrial	26.25383561784724
F10	SR-123781A	TTD	0.5357925636295356
F10	TANOGITRAN	TTD	1.071585127259071
TLR4	RESATORVID	TTD	4.565884455277782
DUSP1	CHMFL-KIT-64	GuideToPharmacology	0.5834185692854944
DUSP1	MERESTINIB	GuideToPharmacology	0.3500511415712967
ADCY9	CCL5	GuideToPharmacology	2.100306849
EDNRB	AMBRISENTAN	ChEMBL	2.250328767244049
TLR4	RESATORVID	ChEMBL	4.565884455277782
EPS8	URMC-099	GuideToPharmacology	0.2778183663264259
F10	COAGULATION FACTOR X HUMAN	ChEMBL	1.071585127259071
F10	COAGULATION FACTOR IX	TEND	3.214755381777214
DUSP1	COMPOUND 7K [PMID: 23521020]	GuideToPharmacology	1.750255707856483
