Term	Overlap	P.value	Adjusted.P.value	library
LJP005 HA1E 24H-NVP-AUY922-10	28/169	5.17715233575221e-18	1.08560592385214e-13	LINCS_L1000_Chem_Pert_down
LJP005 A375 24H-NVP-AUY922-3.33	28/173	9.82427618864817e-18	1.08560592385214e-13	LINCS_L1000_Chem_Pert_down
LJP006 HS578T 24H-withaferin-a-3.33	26/146	1.28560287828383e-17	1.08560592385214e-13	LINCS_L1000_Chem_Pert_down
LJP005 HA1E 24H-NVP-AUY922-0.04	23/115	6.76826488410145e-17	4.28651135772355e-13	LINCS_L1000_Chem_Pert_down
LJP006 HA1E 24H-radicicol-1.11	26/158	9.75735628803965e-17	4.94366213689817e-13	LINCS_L1000_Chem_Pert_down
LJP006 HS578T 24H-celastrol-3.33	21/106	1.89226076593868e-15	7.98944033058744e-12	LINCS_L1000_Chem_Pert_down
LJP005 A549 24H-pelitinib-10	24/154	5.3998234770196e-15	1.95419611633339e-11	LINCS_L1000_Chem_Pert_down
LJP005 HS578T 24H-pelitinib-10	22/126	6.50752997540385e-15	2.06069071083632e-11	LINCS_L1000_Chem_Pert_down
LJP006 HME1 3H-dasatinib-3.33	22/127	7.72920574666087e-15	2.11075142060633e-11	LINCS_L1000_Chem_Pert_down
LJP005 HA1E 24H-geldanamycin-1.11	23/142	8.51939759685892e-15	2.11075142060633e-11	LINCS_L1000_Chem_Pert_down
LJP006 HS578T 24H-radicicol-10	22/128	9.16522544770444e-15	2.11075142060633e-11	LINCS_L1000_Chem_Pert_down
LJP006 HS578T 24H-radicicol-3.33	21/115	1.06216299439069e-14	2.24231459474161e-11	LINCS_L1000_Chem_Pert_down
LJP008 HA1E 24H-dasatinib-1.11	19/96	4.2998822245142e-14	8.37914741489372e-11	LINCS_L1000_Chem_Pert_down
LJP006 HME1 3H-AZD-7762-10	22/139	5.40272365006512e-14	9.77622844479284e-11	LINCS_L1000_Chem_Pert_down
LJP006 HME1 24H-KIN001-043-1.11	21/126	7.09125469617973e-14	1.14629252437116e-10	LINCS_L1000_Chem_Pert_down
LJP006 HA1E 24H-geldanamycin-10	18/86	7.23983752020629e-14	1.14629252437116e-10	LINCS_L1000_Chem_Pert_down
LJP005 HA1E 24H-radicicol-1.11	22/147	1.76936063638042e-13	2.49696141528961e-10	LINCS_L1000_Chem_Pert_down
LJP009 HEPG2 24H-GSK-429286A-0.12	17/78	1.77418013954972e-13	2.49696141528961e-10	LINCS_L1000_Chem_Pert_down
LJP006 HA1E 24H-afatinib-10	22/148	2.04084570668464e-13	2.72109180460221e-10	LINCS_L1000_Chem_Pert_down
LJP005 MDAMB231 24H-pelitinib-10	20/121	3.31326878736583e-13	4.19675190951693e-10	LINCS_L1000_Chem_Pert_down
LJP005 HA1E 24H-geldanamycin-10	21/137	3.91003183813358e-13	4.71680174073514e-10	LINCS_L1000_Chem_Pert_down
LJP005 A375 24H-NVP-AUY922-0.12	23/170	4.44998597466383e-13	5.1241588498254e-10	LINCS_L1000_Chem_Pert_down
LJP005 HCC515 24H-radicicol-10	22/154	4.69183684382797e-13	5.16775229411713e-10	LINCS_L1000_Chem_Pert_down
LJP005 HS578T 24H-enzastaurin-10	18/101	1.34824655854309e-12	1.42313041948217e-09	LINCS_L1000_Chem_Pert_down
LJP006 HS578T 24H-withaferin-a-10	16/76	1.6340033626589e-12	1.65576828744952e-09	LINCS_L1000_Chem_Pert_down
LJP006 A375 24H-geldanamycin-0.04	18/104	2.27183859281196e-12	2.21355719506559e-09	LINCS_L1000_Chem_Pert_down
LJP006 MCF10A 24H-AZD-5438-1.11	20/136	3.16756623093001e-12	2.881524665925e-09	LINCS_L1000_Chem_Pert_down
LJP006 HS578T 24H-saracatinib-3.33	18/106	3.18488495819287e-12	2.881524665925e-09	LINCS_L1000_Chem_Pert_down
LJP006 HA1E 24H-geldanamycin-0.37	19/121	3.36447214439076e-12	2.93904044254659e-09	LINCS_L1000_Chem_Pert_down
LJP006 HME1 24H-BMS-387032-0.12	18/109	5.21181438599732e-12	4.3071393793126e-09	LINCS_L1000_Chem_Pert_down
LJP005 HA1E 24H-NVP-AUY922-3.33	19/124	5.27064780162991e-12	4.3071393793126e-09	LINCS_L1000_Chem_Pert_down
LJP006 HS578T 24H-KIN001-043-3.33	18/110	6.11935475041018e-12	4.82832362822771e-09	LINCS_L1000_Chem_Pert_down
LJP005 HA1E 24H-geldanamycin-0.37	20/141	6.28960958952806e-12	4.82832362822771e-09	LINCS_L1000_Chem_Pert_down
LJP007 HT29 24H-FR-180204-10	14/59	7.17456481333821e-12	5.34568383577344e-09	LINCS_L1000_Chem_Pert_down
LJP006 HCC515 24H-AZD-7762-0.37	14/60	9.19066080949946e-12	6.58595657534122e-09	LINCS_L1000_Chem_Pert_down
LJP005 HA1E 24H-NVP-AUY922-0.37	20/144	9.35911406909107e-12	6.58595657534122e-09	LINCS_L1000_Chem_Pert_down
LJP006 A375 24H-Y-39983-10	15/72	9.62159786115299e-12	6.58767401666456e-09	LINCS_L1000_Chem_Pert_down
LJP006 A549 24H-AZD-5438-3.33	22/180	1.14716989168746e-11	7.45160381182522e-09	LINCS_L1000_Chem_Pert_down
LJP006 BT20 24H-NVP-TAE684-10	22/180	1.14716989168746e-11	7.45160381182522e-09	LINCS_L1000_Chem_Pert_down
LJP006 HA1E 24H-WZ-4-145-1.11	15/73	1.18927894454624e-11	7.53200087554748e-09	LINCS_L1000_Chem_Pert_down
