Term	Overlap	P.value	Adjusted.P.value	library
LJP006 HA1E 24H-saracatinib-1.11	32/83	3.78440593010892e-34	1.04411759611705e-29	LINCS_L1000_Chem_Pert_up
LJP006 HA1E 24H-NVP-TAE684-1.11	35/111	1.13380512558925e-33	1.56408417075037e-29	LINCS_L1000_Chem_Pert_up
LJP006 HA1E 24H-WZ-4-145-10	39/165	4.88190732265274e-32	4.48972743439964e-28	LINCS_L1000_Chem_Pert_up
LJP006 HA1E 24H-selumetinib-10	35/137	4.11925407473338e-30	2.84125549804735e-26	LINCS_L1000_Chem_Pert_up
LJP008 HA1E 24H-PD-0325901-10	30/91	1.14875920890934e-29	6.1358752100528e-26	LINCS_L1000_Chem_Pert_up
LJP006 HA1E 24H-AZD-7762-0.37	32/110	1.3343693823964e-29	6.1358752100528e-26	LINCS_L1000_Chem_Pert_up
LJP006 HA1E 24H-JW-7-24-1-10	35/149	9.70633983645291e-29	3.82568451553908e-25	LINCS_L1000_Chem_Pert_up
LJP006 HA1E 24H-NVP-TAE684-3.33	35/150	1.24532686307785e-28	4.29482101903972e-25	LINCS_L1000_Chem_Pert_up
LJP006 HA1E 24H-WZ-4-145-1.11	31/117	2.56723767540186e-27	7.87000971825971e-24	LINCS_L1000_Chem_Pert_up
LJP007 HA1E 24H-PD-0325901-0.04	28/88	2.8996115324531e-27	8.00002821803809e-24	LINCS_L1000_Chem_Pert_up
LJP006 HA1E 24H-saracatinib-3.33	29/99	5.07379870384136e-27	1.27260096580894e-23	LINCS_L1000_Chem_Pert_up
LJP009 HT29 24H-chelerythrine chloride-10	27/94	5.6175397513849e-25	1.19221478262084e-21	LINCS_L1000_Chem_Pert_up
LJP005 HA1E 24H-PD-184352-10	27/94	5.6175397513849e-25	1.19221478262084e-21	LINCS_L1000_Chem_Pert_up
LJP006 MDAMB231 24H-CGP-60474-0.37	30/128	9.5329421192654e-25	1.79355994846528e-21	LINCS_L1000_Chem_Pert_up
LJP008 HA1E 24H-PD-0325901-0.37	28/106	9.75114143783225e-25	1.79355994846528e-21	LINCS_L1000_Chem_Pert_up
LJP007 HA1E 24H-AST1306-10	29/129	2.10522012230044e-23	3.63018894839182e-20	LINCS_L1000_Chem_Pert_up
LJP005 HA1E 24H-PD-0325901-1.11	26/99	5.56959639523965e-23	9.03912732615658e-20	LINCS_L1000_Chem_Pert_up
LJP005 A375 24H-WZ-3105-3.33	30/160	9.969405166333e-22	1.52808826966182e-18	LINCS_L1000_Chem_Pert_up
LJP006 HA1E 24H-WZ-4-145-0.37	27/123	1.42104657569463e-21	1.91648536648676e-18	LINCS_L1000_Chem_Pert_up
LJP006 PC3 24H-WZ-4-145-3.33	21/61	1.4350114733885e-21	1.91648536648676e-18	LINCS_L1000_Chem_Pert_up
LJP006 HS578T 24H-PD-0325901-0.37	25/100	1.45872391070033e-21	1.91648536648676e-18	LINCS_L1000_Chem_Pert_up
LJP006 MCF10A 24H-HG-5-88-01-10	26/113	2.23384994637748e-21	2.80145091002521e-18	LINCS_L1000_Chem_Pert_up
LJP005 HA1E 24H-PD-0325901-3.33	25/104	4.17463513891327e-21	5.00774710793987e-18	LINCS_L1000_Chem_Pert_up
LJP006 HA1E 24H-dasatinib-0.37	23/86	1.15309317971122e-20	1.32557670117636e-17	LINCS_L1000_Chem_Pert_up
LJP006 MDAMB231 24H-CGP-60474-0.04	27/134	1.56827221441324e-20	1.73074521582645e-17	LINCS_L1000_Chem_Pert_up
LJP006 HA1E 24H-WZ-4-145-3.33	26/127	5.33474878284663e-20	5.66098918918225e-17	LINCS_L1000_Chem_Pert_up
LJP007 A375 24H-CGP-60474-0.04	30/192	2.3149730985305e-19	2.28107527815916e-16	LINCS_L1000_Chem_Pert_up
LJP007 MCF7 24H-NVP-BGT226-3.33	30/192	2.3149730985305e-19	2.28107527815916e-16	LINCS_L1000_Chem_Pert_up
LJP005 HA1E 24H-PD-0325901-10	24/112	4.78365261119841e-19	4.55106812217117e-16	LINCS_L1000_Chem_Pert_up
LJP006 A549 24H-BMS-387032-1.11	29/184	7.33659702849684e-19	6.74722373387426e-16	LINCS_L1000_Chem_Pert_up
LJP008 HCC515 24H-I-BET-0.37	18/53	1.5279722172231e-18	1.35989527332856e-15	LINCS_L1000_Chem_Pert_up
LJP006 MDAMB231 24H-CGP-60474-0.12	23/109	3.8215421338852e-18	3.20216252987869e-15	LINCS_L1000_Chem_Pert_up
LJP006 HEPG2 24H-linifanib-3.33	27/164	3.83006029307708e-18	3.20216252987869e-15	LINCS_L1000_Chem_Pert_up
LJP006 HME1 24H-afatinib-1.11	22/98	5.00268026265018e-18	4.05952789548584e-15	LINCS_L1000_Chem_Pert_up
LJP009 PC3 24H-CGP-60474-0.04	29/198	5.79180725175617e-18	4.51353749251117e-15	LINCS_L1000_Chem_Pert_up
LJP006 HA1E 24H-nintedanib-1.11	19/66	5.88935664118891e-18	4.51353749251117e-15	LINCS_L1000_Chem_Pert_up
LJP006 A549 24H-mitoxantrone-10	28/183	6.72555582884327e-18	5.01508338696718e-15	LINCS_L1000_Chem_Pert_up
LJP006 LNCAP 24H-AT-7519-3.33	25/139	7.62162366082943e-18	5.53369991584958e-15	LINCS_L1000_Chem_Pert_up
LJP006 A549 24H-PF-562271-10	28/185	9.03976841510888e-18	6.39505668135523e-15	LINCS_L1000_Chem_Pert_up
LJP009 HA1E 24H-KIN001-220-10	21/89	9.5894051584286e-18	6.58484470701114e-15	LINCS_L1000_Chem_Pert_up
