pert	cell	type	trend	WTCS	WTCS_Pval	WTCS_FDR	NCS	Tau	TauRefSize	NCSct	N_upset	N_downset	t_gn_sym	MOAss	PCIDss
BRD-K41862560	A375	trt_cp	down	-0.392350143833233	2.64592297866172e-05	0.0324205118355907	-1.74798420558528	NA	NA	0.0187941978111656	113	118	NA	NA	44494417
I-070759	SKB	trt_cp	up	0.384676643472501	2.67638590769236e-05	0.0324205118355907	1.65875145834937	NA	NA	0	113	118	NA	NA	24086306
fluocinolone-acetonide	A549	trt_cp	down	-0.366557487337318	2.75471915377116e-05	0.0324205118355907	-1.61872526582034	NA	NA	-1.10089315262277	113	118	NA	NA	6215
clofarabine	MCF7	trt_cp	down	-0.34919214877837	2.9440244984616e-05	0.0324205118355907	-1.57667006512695	NA	NA	0	113	118	DCK; POLA1; RRM1; RRM2; SLC22A8	Ribonucleoside reductase inhibitor	119182
spiperone	FIBRNPC	trt_cp	up	0.364525015343955	2.76342284777992e-05	0.0324205118355907	1.56899058665214	NA	NA	0	113	118	ADRA1A; ADRA1B; ADRA1D; DRD1; DRD3; DRD4; HTR1D; HTR1F; HTR2B; HTR6; HTR7	Dopamine receptor antagonist	5265
triclosan	MCF7	trt_cp	down	-0.347204982113703	2.99407073901195e-05	0.0324205118355907	-1.56769762343386	NA	NA	-0.0301868397655346	113	118	AR; DNMT1; NR1I2; NR1I3; PPARG; TPO	Enoyl-[acyl-carrier-protein] reductase [NADH] inhibitor	NotFound
BRD-K99398689	PC3	trt_cp	up	0.356126096231388	2.81782093533464e-05	0.0324205118355907	1.56393429552576	NA	NA	1.04783597800226	113	118	NA	NA	60182667
calmidazolium	NEU	trt_cp	down	-0.360541961554004	2.78518208280181e-05	0.0324205118355907	-1.56128821362672	NA	NA	-0.324458317134704	113	118	ATP2B1; PDE1A	Calcium channel blocker; Calmodulin antagonist	2531
XMD-132	SKB	trt_cp	up	0.361663306209099	2.78083023579743e-05	0.0324205118355907	1.55951640627405	NA	NA	0	113	118	NA	NA	68234129
PCO-400	ASC	trt_cp	down	-0.335902947848367	3.7882828173109e-05	0.0324205118355907	-1.55779587399636	NA	NA	-0.0263831151292642	113	118	ABCC9; KCNJ8	Potassium channel activator	129348
BRD-K21918725	CD34	trt_cp	up	0.367973277798793	2.75036730676679e-05	0.0324205118355907	1.55679128149605	NA	NA	0.529309035708658	113	118	NA	NA	6903282
exemestane	NPC	trt_cp	down	-0.353880707506444	2.83958017035653e-05	0.0324205118355907	-1.55513074265826	NA	NA	-0.895667096859807	113	118	CYP19A1	Aromatase inhibitor	60198
clobenpropit	PHH	trt_cp	down	-0.340955303440963	3.25082971227024e-05	0.0324205118355907	-1.53587118733884	NA	NA	0	113	118	HRH1; HRH2; HRH3; HRH4	Histamine receptor antagonist	2790
BRD-K24045217	VCAP	trt_cp	down	-0.341952560369232	3.18990385420895e-05	0.0324205118355907	-1.53367510676709	NA	NA	-1.02756232153395	113	118	NA	NA	44491985
L-655240	VCAP	trt_cp	down	-0.341846025074792	3.18990385420895e-05	0.0324205118355907	-1.53319729040304	NA	NA	-0.839550127151193	113	118	PTGES	Thromboxane receptor antagonist	122070
fluocinolone	A549	trt_cp	down	-0.345928404583742	3.01582997403383e-05	0.0324205118355907	-1.52762681982629	NA	NA	-1.22576422462357	113	118	NR3C1; SERPINA6	Corticosteroid agonist; Glucocorticoid receptor agonist	91488
BRD-K19166598	SKB	trt_cp	up	0.353843544500683	2.83958017035653e-05	0.0324205118355907	1.52579706989664	NA	NA	0.615936154140625	113	118	NA	NA	44618018
BRD-K29715937	NPC	trt_cp	up	0.347155808856212	2.99407073901195e-05	0.0324205118355907	1.52069019211917	NA	NA	0	113	118	NA	NA	1034643
halometasone	A549	trt_cp	down	-0.343163913662113	3.13550576665423e-05	0.0324205118355907	-1.51541877209419	NA	NA	-1.04830353263854	113	118	NR3C1	Glucocorticoid receptor agonist	9846332
isamoltane	SKB	trt_cp	up	0.35096553529081	2.88745048740469e-05	0.0324205118355907	1.51338690136932	NA	NA	1.20520954466788	113	118	NA	NA	127404
quinethazone	MCF7	trt_cp	up	0.34100396765052	3.25082971227024e-05	0.0324205118355907	1.51278814530934	NA	NA	1.0549632647174	113	118	CA1; SLC12A1; SLC12A2; SLC12A3	Thiazide diuretic	6307
maraviroc	A375	trt_cp	up	0.347334249107368	2.99407073901195e-05	0.0324205118355907	1.51274174319061	NA	NA	0	113	118	CCR5; CYP3A5	CC chemokine receptor antagonist	483407
BRD-K31706415	A549	trt_cp	down	-0.342412774976562	3.18990385420895e-05	0.0324205118355907	-1.51210172849138	NA	NA	-0.0151210172849138	113	118	NA	NA	23748696
hydrocortisone-hemisuccinate	A549	trt_cp	down	-0.342002926813967	3.18990385420895e-05	0.0324205118355907	-1.51029183072947	NA	NA	-0.773733801726394	113	118	NA	NA	16623
nortriptyline	MCF7	trt_cp	down	-0.33291991890109	4.20388420622898e-05	0.0324205118355907	-1.50319780113096	NA	NA	0.0284887939426752	113	118	ADRA1A; ADRA1B; ADRA1D; ADRA2B; ADRA2C; ADRB1; ADRB2; ADRB3; CHRM1; CHRM4; CHRM5; HRH1; HTR6; KCNJ10; PGRMC1; PIK3CD; SIGMAR1; SLC6A2; SLC6A4	Tricyclic antidepressant	441358
MBCQ	HA1E	trt_cp	down	-0.337421965855282	3.62291263114454e-05	0.0324205118355907	-1.50149860954234	NA	NA	-0.83168410898542	113	118	PDE5A	Phosphodiesterase inhibitor	6610310
SB-218078	SKB	trt_cp	up	0.347760776390447	2.97013558048787e-05	0.0324205118355907	1.49956776628576	NA	NA	0	113	118	CHEK1	CHK inhibitor	3387354
W-13	SKB	trt_cp	down	-0.328143723117678	5.31360519234533e-05	0.0324205118355907	-1.4826043399871	NA	NA	0	113	118	CALM1; MYLK; PDE1A	Calmodulin antagonist	4299
BML-284	NPC	trt_cp	down	-0.337293978408293	3.62291263114454e-05	0.0324205118355907	-1.4822402691356	NA	NA	-1.03042366616167	113	118	NA	NA	11210285
BRD-K91440401	VCAP	trt_cp	down	-0.330426243864071	4.80226316933093e-05	0.0324205118355907	-1.48197897477265	NA	NA	-1.48197897477265	113	118	NA	NA	54652942
clobetasol	A549	trt_cp	down	-0.335285497221945	3.9057826864291e-05	0.0324205118355907	-1.48062752600891	NA	NA	-0.0382806492673706	113	118	NR3C1; PLA2G1B	Glucocorticoid receptor agonist	5311051
z-prolyl-prolinal	A549	trt_cp	down	-0.335100200452412	3.9057826864291e-05	0.0324205118355907	-1.47980925173304	NA	NA	0.0243271951970803	113	118	PREP	Prolyl endopeptidase inhibitor	122623
SA-243929	MCF7	trt_cp	up	0.333440257598389	4.20388420622898e-05	0.0324205118355907	1.47923343044706	NA	NA	1.47923343044706	113	118	NA	NA	44496365
BRD-K36022244	PC3	trt_cp	down	-0.332829817049465	4.20388420622898e-05	0.0324205118355907	-1.47825794895625	NA	NA	-0.834486676432546	113	118	NA	NA	44490445
prednisolone	HA1E	trt_cp	down	-0.332103918946644	4.37795808640409e-05	0.0324205118355907	-1.47783376004577	NA	NA	-1.07422692055563	113	118	CRP; NR3C1; NR3C2; SERPINA6	Glucocorticoid receptor agonist	5755
BRD-K22828860	A549	trt_cp	down	-0.334576098187975	3.9057826864291e-05	0.0324205118355907	-1.47749480555031	NA	NA	0.331035154874445	113	118	NA	NA	44499516
naphazoline	HCC515	trt_cp	down	-0.334970411384099	3.9057826864291e-05	0.0324205118355907	-1.47668164902725	NA	NA	-0.847261041708912	113	118	ADRA1A	Adrenergic receptor agonist	11079
PSH-026	VCAP	trt_cp	down	-0.329119061217598	5.02638329005639e-05	0.0324205118355907	-1.47611619227812	NA	NA	0	113	118	NA	NA	24747195
clocortolone-pivalate	A549	trt_cp	down	-0.334163792834125	4.07115287259546e-05	0.0324205118355907	-1.4756740567822	NA	NA	-0.0324921090726971	113	118	NA	NA	5282493
desmethylclozapine	ASC	trt_cp	up	0.327059158631208	5.60082709463426e-05	0.0324205118355907	1.47386281437566	NA	NA	0.723460397619646	113	118	CHRM1; DRD3	Acetylcholine receptor agonist	2820
barasertib-HQPA	HEPG2	trt_cp	down	-0.344423496933029	3.07457990859294e-05	0.0324205118355907	-1.47246495474612	NA	NA	-0.0500659510761168	113	118	NA	NA	16007391
BRD-K83601549	VCAP	trt_cp	down	-0.328231336043546	5.31360519234533e-05	0.0324205118355907	-1.47213469847201	NA	NA	-0.986330247976244	113	118	NA	NA	44616428
clobetasol	HA1E	trt_cp	down	-0.330541466203737	4.57814304860547e-05	0.0324205118355907	-1.47088098026748	NA	NA	-0.0382806492673706	113	118	NR3C1; PLA2G1B	Glucocorticoid receptor agonist	5311051
