gene	ensembl	max_clinical_phase	n_known_drugs	top_drugs	smallmolecule_tractable
IGFBP5	ENSG00000115461	NA	NA		NA
KLF12	ENSG00000118922	NA	NA		NA
PLXDC2	ENSG00000120594	NA	NA		NA
PDGFD	ENSG00000170962	NA	NA		NA
EPSTI1	ENSG00000133106	NA	NA		NA
SERPINB2	ENSG00000197632	NA	NA		NA
GREM2	ENSG00000180875	NA	NA		NA
SRGN	ENSG00000122862	NA	NA		NA
F10	ENSG00000126218	NA	NA		NA
P4HA3	ENSG00000149380	NA	NA		NA
TLR4	ENSG00000136869	NA	NA		NA
SEMA6D	ENSG00000137872	NA	NA		NA
EDNRB	ENSG00000136160	NA	NA		NA
PMP22	ENSG00000109099	NA	NA		NA
EPS8	ENSG00000151491	NA	NA		NA
IRS1	ENSG00000169047	NA	NA		NA
DUSP1	ENSG00000120129	NA	NA		NA
RAB13	ENSG00000143545	NA	NA		NA
RGMB	ENSG00000174136	NA	NA		NA
FMN1	ENSG00000248905	NA	NA		NA
ADCY9	ENSG00000162104	NA	NA		NA
LOXL2	ENSG00000134013	NA	NA		NA
GCNT1	ENSG00000187210	NA	NA		NA
SIPA1L2	ENSG00000116991	NA	NA		NA
HIVEP1	ENSG00000095951	NA	NA		NA
