gene	direction	priority_score	evidence_tier	rra_strength	failure_specific	scrna_support	mr_causal	druggability	jaw_context	cmap_connectivity	mr_p	mr_beta	n_drugs	example_drugs
IGFBP5	up	0.554160865842037	transcriptomic_hyp	0.999677568646806	1	1	0	0.028169014084507	0	0.514084507042254	NA	NA	2	RECOMBINANT TRANSFORMING GROWTH FACTOR-BETA 1;THERAPEUTIC ANDROSTANOLONE
KLF12	down	0.451707372011383	eBMD-MR-associated	0.99983572512627	0	0	1	0	0.0348045397225727	0	8.12942812936827e-14	0.072579186576468	0	
PLXDC2	up	0.411047105160165	eBMD-MR-associated	0.99983249137672	0.432006633499171	0	0.461238491489768	0	0.187393146250895	0	9.17098153050506e-07	0.0915394483299781	0	
PDGFD	up	0.396517684794132	transcriptomic_hyp	0.998368679300295	0.464344941956882	0.497496084300204	0	0.028169014084507	0	0.514084507042254	0.675014175999335	0.00780237359355064	2	CR002;SUNITINIB
SERPINB2	down	0.335693871261801	transcriptomic_hyp	0.999995528266118	0.417910447761194	0	0	0.0140845070422535	0	0.507042253521127	0.685487649385828	-0.00703634053324593	1	UROKINASE
EPSTI1	up	0.330994272781661	eBMD-MR-associated	0.999301390719533	0.202321724709784	0	0.36267859878319	0	0	0	1.78878811691621e-05	0.0297138670139979	0	
P4HA3	up	0.311675796448184	transcriptomic_hyp	0.999999852326948	0.487562189054726	0	0	0	0.283267763436988	0	NA	NA	0	
SEMA6D	down	0.310369988701583	transcriptomic_hyp	0.999968023281375	0	0.84986596677731	0	0	0.507795747351538	0	NA	NA	0	
TLR4	up	0.309933821202262	program_member	0.993331077842295	0	0	0	0.408450704225352	0	0.704225352112676	0.685487649385828	-0.00423787471034383	29	ERITORAN TETRASODIUM;ERITORAN;PARIDIPRUBART;DEHYDRATED ALCOHOL
F10	up	0.308769412582967	transcriptomic_hyp	0.47855976260966	0	0.130574600610347	0	1	0	1	0.154284900148884	0.0624767726677711	71	GDC-0339;SGI-1776;IDRAPARINUX;NONACOG ALFA
