signature	source_type	n_genes	frac_cell_cycle	p_cell_cycle	frac_serum_IEG	p_serum_IEG	frac_hypoxia	p_hypoxia	frac_senescence	p_senescence	frac_interferon	p_interferon	frac_culture_any	frac_osteo_identity	TS	verdict	prov
EX_SCAP_simvastatin_GSE286540	excluded_perturbation_DE	499	0.1683	2.76e-57	0.0441	0.000561	0.018	0.064	0.012	0.0575	0.014	0.327	0.2405	0.0401	1.148	partial	data_driven_in_vitro
DE_PDLSC_GSE99958	single_source_DE	408	0.0564	1.63e-06	0.0441	0.00173	0.027	0.00278	0.0123	0.0748	0.1103	1.21e-31	0.2206	0.0441	0.886666666666667	does_not_transfer	data_driven_in_vitro
RRA744_pan_dental	own_meta	744	0.0161	0.695	0.0497	4.76e-07	0.0444	5.67e-13	0.0215	3.07e-06	0.0591	7.01e-20	0.1599	0.0578	0.0496666666666667	does_not_transfer	data_driven_in_vitro
GO_osteoblast_differentiation	literature_GO	217	0.0276	0.2	0.0876	9.69e-08	0.023	0.0673	0.0599	2.12e-10	0.0184	0.226	0.1567	1	3.71333333333333	transfers	prior_knowledge
GO_ossification	literature_GO	354	0.0198	0.457	0.0565	3.82e-05	0.0254	0.0095	0.0367	7.6e-08	0.0169	0.207	0.1158	1	5.05533333333333	transfers	prior_knowledge
DE_DFC_GSE49007	single_source_DE	394	0.0025	0.999	0.0508	0.000165	0.0431	4.93e-07	0.0152	0.0218	0.0279	0.00503	0.1117	0.0533	1.83566666666667	transfers	data_driven_in_vitro
GO_reg_bone_mineralization	literature_GO	72	0.0139	0.731	0.0556	0.0578	0.0139	0.516	0.0139	0.328	0.0278	0.193	0.0972	1	2.83533333333333	transfers	prior_knowledge
DE_SHED_GSE266257	single_source_DE	500	0.004	0.999	0.022	0.43	0.026	0.00163	0.014	0.0205	0.02	0.0557	0.074	0.052	-0.127	does_not_transfer	data_driven_in_vitro
DE_DPSC_GSE226347	single_source_DE	41	0	1	0	1	0.0488	0.0633	0.0244	0.203	0	1	0.0732	0.0488	-0.864	does_not_transfer	data_driven_in_vitro
GO_biomineral_tissue_dev	literature_GO	148	0.0203	0.501	0.0338	0.181	0.0068	0.775	0.0135	0.196	0.0135	0.495	0.0676	0.6959	3.452	transfers	prior_knowledge
DE_GSC_GSE226347	single_source_DE	40	0	1	0	1	0	1	0	1	0.025	0.363	0.025	0.05	1.21	partial	data_driven_in_vitro
EX_PDLSC_CALD1kd_GSE236009	excluded_perturbation_DE	40	0	1	0	1	0	1	0.025	0.198	0	1	0.025	0.075	-1.50233333333333	does_not_transfer	data_driven_in_vitro
EX_DPSC_cannabidiol_GSE271641	excluded_perturbation_DE	40	0	1	0	1	0	1	0	1	0	1	0	0.025	0.616666666666667	does_not_transfer	data_driven_in_vitro
POSctrl_osteo_markers	positive_control	10	0	1	0	1	0	1	0	1	0	1	0	0.8	2.077	transfers	positive_control
