gene	mean_osteo_z	n_atlas	signature
COL3A1	2.428	3	DE_DFC_GSE49007
FMOD	1.951	3	DE_DFC_GSE49007
COL11A1	1.939	3	DE_DFC_GSE49007
GPX3	1.846	3	DE_DFC_GSE49007
IGFBP5	1.816	3	DE_DFC_GSE49007
SLIT3	1.801	3	DE_DFC_GSE49007
BMP1	1.792	3	DE_DFC_GSE49007
PTGIS	1.695	3	DE_DFC_GSE49007
PRELP	1.674	3	DE_DFC_GSE49007
ADAMTS2	1.665	3	DE_DFC_GSE49007
SERPING1	1.66	3	DE_DFC_GSE49007
FBLN1	1.602	3	DE_DFC_GSE49007
OMD	1.559	3	DE_DFC_GSE49007
ASPN	1.532	3	DE_DFC_GSE49007
ALPL	1.521	3	DE_DFC_GSE49007
GPC6	1.502	3	DE_DFC_GSE49007
ROR2	1.47	3	DE_DFC_GSE49007
VIT	1.41	3	DE_DFC_GSE49007
CFH	1.38	3	DE_DFC_GSE49007
FBLN2	1.361	3	DE_DFC_GSE49007
PDGFRL	1.328	3	DE_DFC_GSE49007
ERRFI1	1.244	3	DE_DFC_GSE49007
MFAP4	1.24	3	DE_DFC_GSE49007
EPHA3	1.204	3	DE_DFC_GSE49007
COMP	1.197	3	DE_DFC_GSE49007
GPC3	1.177	3	DE_DFC_GSE49007
LAMA2	1.168	3	DE_DFC_GSE49007
SH3D19	1.161	3	DE_DFC_GSE49007
APOD	1.118	3	DE_DFC_GSE49007
PLAT	1.113	3	DE_DFC_GSE49007
ABI3BP	1.107	3	DE_DFC_GSE49007
FGF7	1.095	3	DE_DFC_GSE49007
LTBP1	1.091	3	DE_DFC_GSE49007
DPT	1.086	3	DE_DFC_GSE49007
AUTS2	1.084	3	DE_DFC_GSE49007
FRZB	1.073	3	DE_DFC_GSE49007
C1R	1.063	2	DE_DFC_GSE49007
SPON1	1.044	3	DE_DFC_GSE49007
ITGA10	1.008	3	DE_DFC_GSE49007
CHRDL1	1.004	3	DE_DFC_GSE49007
PDGFD	1	3	DE_DFC_GSE49007
KLF9	0.998	3	DE_DFC_GSE49007
EFEMP1	0.991	3	DE_DFC_GSE49007
ADARB1	0.97	3	DE_DFC_GSE49007
ZCCHC24	0.955	3	DE_DFC_GSE49007
NEGR1	0.947	3	DE_DFC_GSE49007
TSPAN9	0.922	3	DE_DFC_GSE49007
OLFML1	0.905	3	DE_DFC_GSE49007
COL14A1	0.902	3	DE_DFC_GSE49007
PLTP	0.901	3	DE_DFC_GSE49007
