atlas	signature	compartment	score_z
GSE303003_human_MRONJ	RRA744_pan_dental	Bcell_plasma	0.872
GSE303003_human_MRONJ	RRA744_pan_dental	Endothelial	-1.395
GSE303003_human_MRONJ	RRA744_pan_dental	Epithelial	-0.393
GSE303003_human_MRONJ	RRA744_pan_dental	Mesenchymal_osteo	-0.328
GSE303003_human_MRONJ	RRA744_pan_dental	Myeloid	1.392
GSE303003_human_MRONJ	RRA744_pan_dental	Osteoclast	0.661
GSE303003_human_MRONJ	RRA744_pan_dental	Tcell	-0.81
GSE303003_human_MRONJ	DE_PDLSC_GSE99958	Bcell_plasma	-1.156
GSE303003_human_MRONJ	DE_PDLSC_GSE99958	Endothelial	1.839
GSE303003_human_MRONJ	DE_PDLSC_GSE99958	Epithelial	-0.403
GSE303003_human_MRONJ	DE_PDLSC_GSE99958	Mesenchymal_osteo	0.414
GSE303003_human_MRONJ	DE_PDLSC_GSE99958	Myeloid	0.491
GSE303003_human_MRONJ	DE_PDLSC_GSE99958	Osteoclast	-0.539
GSE303003_human_MRONJ	DE_PDLSC_GSE99958	Tcell	-0.646
GSE303003_human_MRONJ	DE_DPSC_GSE226347	Bcell_plasma	0.684
GSE303003_human_MRONJ	DE_DPSC_GSE226347	Endothelial	-1.128
GSE303003_human_MRONJ	DE_DPSC_GSE226347	Epithelial	0.923
GSE303003_human_MRONJ	DE_DPSC_GSE226347	Mesenchymal_osteo	-1.303
GSE303003_human_MRONJ	DE_DPSC_GSE226347	Myeloid	0.188
GSE303003_human_MRONJ	DE_DPSC_GSE226347	Osteoclast	1.176
GSE303003_human_MRONJ	DE_DPSC_GSE226347	Tcell	-0.541
GSE303003_human_MRONJ	DE_GSC_GSE226347	Bcell_plasma	-0.296
GSE303003_human_MRONJ	DE_GSC_GSE226347	Endothelial	-1.131
GSE303003_human_MRONJ	DE_GSC_GSE226347	Epithelial	1.698
GSE303003_human_MRONJ	DE_GSC_GSE226347	Mesenchymal_osteo	0.626
