atlas	organism	signature	source_type	n_up_used	n_down_used	osteo_compartment	osteo_score_z	osteo_rank	n_compartments	top_compartment	transferability_z	p_localizes_more	p_localizes_less	null_mean	null_sd
GSE303003_human_MRONJ	human	RRA744_pan_dental	own_meta	312	365	Mesenchymal_osteo	-0.328	4	7	Myeloid	-0.369	0.635	0.365	-0.008	0.867
GSE303003_human_MRONJ	human	DE_PDLSC_GSE99958	single_source_DE	223	130	Mesenchymal_osteo	0.414	3	7	Endothelial	0.512	0.319	0.681	-0.019	0.846
GSE303003_human_MRONJ	human	DE_DPSC_GSE226347	single_source_DE	15	18	Mesenchymal_osteo	-1.303	7	7	Osteoclast	-1.48	0.932	0.0685	0.021	0.895
GSE303003_human_MRONJ	human	DE_GSC_GSE226347	single_source_DE	8	13	Mesenchymal_osteo	0.626	2	7	Epithelial	0.733	0.239	0.761	-0.005	0.861
GSE303003_human_MRONJ	human	DE_SHED_GSE266257	single_source_DE	227	222	Mesenchymal_osteo	-1.549	7	7	Tcell	-1.814	0.967	0.0335	0.001	0.854
GSE303003_human_MRONJ	human	DE_DFC_GSE49007	single_source_DE	239	128	Mesenchymal_osteo	1.695	1	7	Mesenchymal_osteo	2.037	0.0125	0.988	-0.047	0.855
GSE303003_human_MRONJ	human	GO_osteoblast_differentiation	literature_GO	179	0	Mesenchymal_osteo	1.295	1	7	Mesenchymal_osteo	3.976	0.001	1	0.126	0.294
GSE303003_human_MRONJ	human	GO_ossification	literature_GO	313	0	Mesenchymal_osteo	1.241	1	7	Mesenchymal_osteo	5.001	5e-04	1	0.126	0.223
GSE303003_human_MRONJ	human	GO_biomineral_tissue_dev	literature_GO	144	0	Mesenchymal_osteo	1.097	1	7	Mesenchymal_osteo	3.01	0.003	0.998	0.109	0.328
GSE303003_human_MRONJ	human	GO_reg_bone_mineralization	literature_GO	70	0	Mesenchymal_osteo	1.331	1	7	Mesenchymal_osteo	2.794	0.004	0.997	0.118	0.434
GSE303003_human_MRONJ	human	EX_SCAP_simvastatin_GSE286540	excluded_perturbation_DE	224	223	Mesenchymal_osteo	0.342	3	7	Epithelial	0.422	0.347	0.654	-0.012	0.839
GSE303003_human_MRONJ	human	EX_DPSC_cannabidiol_GSE271641	excluded_perturbation_DE	8	7	Mesenchymal_osteo	0.709	2	7	Myeloid	0.8	0.22	0.781	0.002	0.883
GSE303003_human_MRONJ	human	EX_PDLSC_CALD1kd_GSE236009	excluded_perturbation_DE	17	16	Mesenchymal_osteo	-1.126	6	7	Myeloid	-1.26	0.88	0.121	-0.02	0.877
GSE303003_human_MRONJ	human	POSctrl_osteo_markers	positive_control	10	0	Mesenchymal_osteo	1.809	1	7	Mesenchymal_osteo	2.325	0.0185	0.982	0.072	0.747
