atlas	signature	source_type	osteo_rank	transferability_z_coexpr	p_coexpr	localises_coexpr
GSE303003_human_MRONJ	RRA744_pan_dental	own_meta	4	-0.409	0.666	FALSE
GSE303003_human_MRONJ	DE_PDLSC_GSE99958	single_source_DE	3	0.549	0.295	FALSE
GSE303003_human_MRONJ	DE_DPSC_GSE226347	single_source_DE	7	-1.69	0.945	FALSE
GSE303003_human_MRONJ	DE_GSC_GSE226347	single_source_DE	2	0.815	0.207	FALSE
GSE303003_human_MRONJ	DE_SHED_GSE266257	single_source_DE	7	-1.948	0.974	FALSE
GSE303003_human_MRONJ	DE_DFC_GSE49007	single_source_DE	1	1.967	0.0205	TRUE
GSE303003_human_MRONJ	GO_osteoblast_differentiation	literature_GO	1	3.85	5e-04	TRUE
GSE303003_human_MRONJ	GO_ossification	literature_GO	1	4.589	5e-04	TRUE
GSE303003_human_MRONJ	GO_biomineral_tissue_dev	literature_GO	1	3.024	0.0025	TRUE
GSE303003_human_MRONJ	GO_reg_bone_mineralization	literature_GO	1	2.82	0.0045	TRUE
GSE303003_human_MRONJ	EX_SCAP_simvastatin_GSE286540	excluded_perturbation_DE	3	0.665	0.254	FALSE
GSE303003_human_MRONJ	EX_DPSC_cannabidiol_GSE271641	excluded_perturbation_DE	2	0.996	0.16	FALSE
GSE303003_human_MRONJ	EX_PDLSC_CALD1kd_GSE236009	excluded_perturbation_DE	6	-1.271	0.891	FALSE
GSE303003_human_MRONJ	POSctrl_osteo_markers	positive_control	1	2.204	0.025	TRUE
GSE295106_mouse_BRONJ	RRA744_pan_dental	own_meta	4	-0.193	0.609	FALSE
GSE295106_mouse_BRONJ	DE_PDLSC_GSE99958	single_source_DE	1	0.799	0.29	FALSE
GSE295106_mouse_BRONJ	DE_DPSC_GSE226347	single_source_DE	6	-1.414	0.883	FALSE
GSE295106_mouse_BRONJ	DE_GSC_GSE226347	single_source_DE	1	0.937	0.205	FALSE
GSE295106_mouse_BRONJ	DE_SHED_GSE266257	single_source_DE	3	0.768	0.277	FALSE
GSE295106_mouse_BRONJ	DE_DFC_GSE49007	single_source_DE	1	0.892	0.209	FALSE
GSE295106_mouse_BRONJ	GO_osteoblast_differentiation	literature_GO	1	6.703	5e-04	TRUE
GSE295106_mouse_BRONJ	GO_ossification	literature_GO	1	8.281	5e-04	TRUE
GSE295106_mouse_BRONJ	GO_biomineral_tissue_dev	literature_GO	1	5.446	5e-04	TRUE
GSE295106_mouse_BRONJ	GO_reg_bone_mineralization	literature_GO	1	4.107	5e-04	TRUE
GSE295106_mouse_BRONJ	EX_SCAP_simvastatin_GSE286540	excluded_perturbation_DE	1	1.694	0.009	TRUE
GSE295106_mouse_BRONJ	EX_DPSC_cannabidiol_GSE271641	excluded_perturbation_DE	5	-0.364	0.673	FALSE
GSE295106_mouse_BRONJ	EX_PDLSC_CALD1kd_GSE236009	excluded_perturbation_DE	8	-1.48	0.999	FALSE
GSE295106_mouse_BRONJ	POSctrl_osteo_markers	positive_control	1	3.712	5e-04	TRUE
GSE269255_mouse_ORNJ	RRA744_pan_dental	own_meta	4	0.743	0.251	FALSE
GSE269255_mouse_ORNJ	DE_PDLSC_GSE99958	single_source_DE	1	0.989	0.18	FALSE
GSE269255_mouse_ORNJ	DE_DPSC_GSE226347	single_source_DE	5	-0.568	0.692	FALSE
GSE269255_mouse_ORNJ	DE_GSC_GSE226347	single_source_DE	1	2.02	0.0065	TRUE
GSE269255_mouse_ORNJ	DE_SHED_GSE266257	single_source_DE	2	1.617	0.0725	FALSE
GSE269255_mouse_ORNJ	DE_DFC_GSE49007	single_source_DE	1	1.373	0.034	TRUE
GSE269255_mouse_ORNJ	GO_osteoblast_differentiation	literature_GO	1	1.674	0.036	TRUE
GSE269255_mouse_ORNJ	GO_ossification	literature_GO	1	3.056	0.0015	TRUE
GSE269255_mouse_ORNJ	GO_biomineral_tissue_dev	literature_GO	1	2.081	0.0095	TRUE
GSE269255_mouse_ORNJ	GO_reg_bone_mineralization	literature_GO	1	1.903	0.0085	TRUE
GSE269255_mouse_ORNJ	EX_SCAP_simvastatin_GSE286540	excluded_perturbation_DE	1	2.201	0.0195	TRUE
GSE269255_mouse_ORNJ	EX_DPSC_cannabidiol_GSE271641	excluded_perturbation_DE	1	0.898	0.208	FALSE
GSE269255_mouse_ORNJ	EX_PDLSC_CALD1kd_GSE236009	excluded_perturbation_DE	7	-1.168	0.859	FALSE
GSE269255_mouse_ORNJ	POSctrl_osteo_markers	positive_control	1	1.852	0.002	TRUE
