atlas	set	n_up	osteo_rank	transferability_z	p	localises
GSE303003_human_MRONJ	RRA744_correspondent_subprogram	27	1	3.219	5e-04	TRUE
GSE303003_human_MRONJ	RRA744_full	312	4	-0.393	0.636	FALSE
GSE303003_human_MRONJ	DFC_full	239	1	1.969	0.0135	TRUE
GSE303003_human_MRONJ	POSctrl	10	1	2.251	0.0165	TRUE
GSE295106_mouse_BRONJ	RRA744_correspondent_subprogram	27	1	3.091	5e-04	TRUE
GSE295106_mouse_BRONJ	RRA744_full	298	4	0.24	0.425	FALSE
GSE295106_mouse_BRONJ	DFC_full	223	1	1.537	0.0445	TRUE
GSE295106_mouse_BRONJ	POSctrl	9	1	2.226	5e-04	TRUE
GSE269255_mouse_ORNJ	RRA744_correspondent_subprogram	27	1	2.135	0.001	TRUE
GSE269255_mouse_ORNJ	RRA744_full	298	4	0.372	0.377	FALSE
GSE269255_mouse_ORNJ	DFC_full	221	1	1.903	0.01	TRUE
GSE269255_mouse_ORNJ	POSctrl	9	1	1.739	0.001	TRUE
