signature	direction	gene
RRA744_pan_dental	up	P4HA3
RRA744_pan_dental	up	TRNP1
RRA744_pan_dental	up	CRYAB
RRA744_pan_dental	up	TSC22D3
RRA744_pan_dental	up	CORIN
RRA744_pan_dental	up	PLAT
RRA744_pan_dental	up	ANGPTL4
RRA744_pan_dental	up	DUSP1
RRA744_pan_dental	up	CFH
RRA744_pan_dental	up	NT5DC3
RRA744_pan_dental	up	RGCC
RRA744_pan_dental	up	PLXDC2
RRA744_pan_dental	up	ANKRD1
RRA744_pan_dental	up	C5AR2
RRA744_pan_dental	up	PER1
RRA744_pan_dental	up	IGFBP5
RRA744_pan_dental	up	MMP19
RRA744_pan_dental	up	RHOD
RRA744_pan_dental	up	ADARB1
RRA744_pan_dental	up	PARM1
RRA744_pan_dental	up	CYGB
RRA744_pan_dental	up	STC1
RRA744_pan_dental	up	EPSTI1
RRA744_pan_dental	up	SLC7A2
RRA744_pan_dental	up	TIMP4
RRA744_pan_dental	up	COL3A1
RRA744_pan_dental	up	SPRY1
RRA744_pan_dental	up	EDNRB
RRA744_pan_dental	up	EFHD1
RRA744_pan_dental	up	PDGFD
RRA744_pan_dental	up	OMD
RRA744_pan_dental	up	CD82
RRA744_pan_dental	up	C11orf96
RRA744_pan_dental	up	TMEM204
RRA744_pan_dental	up	ISG20
RRA744_pan_dental	up	PCDH9
RRA744_pan_dental	up	FABP5
RRA744_pan_dental	up	DUSP5
RRA744_pan_dental	up	AK4
RRA744_pan_dental	up	GCNT1
RRA744_pan_dental	up	PRELP
RRA744_pan_dental	up	FADS2
RRA744_pan_dental	up	PMEPA1
RRA744_pan_dental	up	LYPD3
RRA744_pan_dental	up	MFAP4
RRA744_pan_dental	up	GADD45B
RRA744_pan_dental	up	CNTN3
RRA744_pan_dental	up	RASD1
RRA744_pan_dental	up	AFF2
RRA744_pan_dental	up	TLR4
RRA744_pan_dental	up	MEDAG
RRA744_pan_dental	up	GALNT10
RRA744_pan_dental	up	SCG2
RRA744_pan_dental	up	C1R
RRA744_pan_dental	up	PPP1R13L
RRA744_pan_dental	up	OPN3
RRA744_pan_dental	up	EPS8
RRA744_pan_dental	up	AXIN2
RRA744_pan_dental	up	MFGE8
RRA744_pan_dental	up	PTGS1
RRA744_pan_dental	up	CPM
RRA744_pan_dental	up	IRF7
RRA744_pan_dental	up	COL11A1
RRA744_pan_dental	up	DIO2
RRA744_pan_dental	up	HSPE1
RRA744_pan_dental	up	SRGN
RRA744_pan_dental	up	POLR3K
RRA744_pan_dental	up	CRIP2
RRA744_pan_dental	up	NRP2
RRA744_pan_dental	up	TMEM100
RRA744_pan_dental	up	NR4A3
RRA744_pan_dental	up	FRMD5
RRA744_pan_dental	up	AEBP1
RRA744_pan_dental	up	SNHG5
RRA744_pan_dental	up	B3GNT5
RRA744_pan_dental	up	GAS6
RRA744_pan_dental	up	GPC3
RRA744_pan_dental	up	ALCAM
RRA744_pan_dental	up	METTL7A
RRA744_pan_dental	up	ASPN
RRA744_pan_dental	up	RPL41
RRA744_pan_dental	up	SMOC1
RRA744_pan_dental	up	ISG15
RRA744_pan_dental	up	PMP22
RRA744_pan_dental	up	ADAMTSL4
RRA744_pan_dental	up	IFITM1
RRA744_pan_dental	up	RAB13
RRA744_pan_dental	up	ANGPT1
RRA744_pan_dental	up	NNMT
RRA744_pan_dental	up	CST3
RRA744_pan_dental	up	SERPING1
RRA744_pan_dental	up	DDIT4
RRA744_pan_dental	up	ARHGEF28
RRA744_pan_dental	up	CHRNA1
RRA744_pan_dental	up	LGMN
RRA744_pan_dental	up	CYSTM1
RRA744_pan_dental	up	SPON2
RRA744_pan_dental	up	MMP1
RRA744_pan_dental	up	MX1
RRA744_pan_dental	up	LRRC32
RRA744_pan_dental	up	NSMF
RRA744_pan_dental	up	MT2A
RRA744_pan_dental	up	CKB
RRA744_pan_dental	up	EPHB6
RRA744_pan_dental	up	FNDC4
RRA744_pan_dental	up	SRPX
RRA744_pan_dental	up	IL1R1
RRA744_pan_dental	up	RPL28
RRA744_pan_dental	up	OAS1
RRA744_pan_dental	up	ITGA10
RRA744_pan_dental	up	GABARAPL1
RRA744_pan_dental	up	PTK2B
RRA744_pan_dental	up	ALPL
RRA744_pan_dental	up	IFI6
RRA744_pan_dental	up	FBLN5
RRA744_pan_dental	up	EFEMP1
RRA744_pan_dental	up	RPL26
RRA744_pan_dental	up	PNMAL1
RRA744_pan_dental	up	IL11
RRA744_pan_dental	up	PRR5L
RRA744_pan_dental	up	HAS2
RRA744_pan_dental	up	ABI3BP
RRA744_pan_dental	up	APOD
RRA744_pan_dental	up	IFIT1
RRA744_pan_dental	up	APOL2
RRA744_pan_dental	up	FRZB
RRA744_pan_dental	up	PLAUR
RRA744_pan_dental	up	SESN3
RRA744_pan_dental	up	GLRX
RRA744_pan_dental	up	SLC20A2
RRA744_pan_dental	up	MMP10
RRA744_pan_dental	up	GPM6B
RRA744_pan_dental	up	SSPN
RRA744_pan_dental	up	TRIM47
RRA744_pan_dental	up	PSD4
RRA744_pan_dental	up	FAM107A
RRA744_pan_dental	up	IFI44L
RRA744_pan_dental	up	TGM2
RRA744_pan_dental	up	KLF9
RRA744_pan_dental	up	PPP1R14A
RRA744_pan_dental	up	SDF2L1
RRA744_pan_dental	up	NFIA
RRA744_pan_dental	up	LAMA2
RRA744_pan_dental	up	ATP6V0B
RRA744_pan_dental	up	PHKA1
RRA744_pan_dental	up	CCDC3
RRA744_pan_dental	up	LEF1
RRA744_pan_dental	up	TLDC2
RRA744_pan_dental	up	GLDN
RRA744_pan_dental	up	MAGED4B
RRA744_pan_dental	up	RPL7AP6
RRA744_pan_dental	up	SFRP1
RRA744_pan_dental	up	SPON1
