gene	source
CYP2D6	DGIdb
PPARG	DGIdb
ATAD5	DGIdb
RGS4	DGIdb
MAPK1	DGIdb
AGTR1	DGIdb
KDR	DGIdb
PARP1	DGIdb
NUDT2	DGIdb
DTNB	DGIdb
F10	DGIdb
RYR3	DGIdb
KIT	DGIdb
CCL4	DGIdb
CSF2	DGIdb
BAZ2B	DGIdb
JUN	DGIdb
EHMT2	DGIdb
CSNK2A3	DGIdb
ADRB1	DGIdb
SCN10A	DGIdb
AQP1	DGIdb
FGFR3	DGIdb
ADRB3	DGIdb
PLG	DGIdb
KCND3	DGIdb
RPL28	DGIdb
ESR1	DGIdb
POLK	DGIdb
GPR55	DGIdb
HIF1A	DGIdb
DRD2	DGIdb
ANXA2P1	DGIdb
PRMT1	DGIdb
FGFR1	DGIdb
HDAC9	DGIdb
NR3C1	DGIdb
RAB40B	DGIdb
CACNA1D	DGIdb
NR1H4	DGIdb
SMAD3	DGIdb
CSF1R	DGIdb
CAMK2D	DGIdb
IL6R	DGIdb
RPS6KB1	DGIdb
HIPK4	DGIdb
NSD2	DGIdb
CYP2C9	DGIdb
PTGS1	DGIdb
AQP3	DGIdb
AVPR1A	DGIdb
HMGCR	DGIdb
KDM4A	DGIdb
CD274	DGIdb
GCNT2	DGIdb
PAK4	DGIdb
ERBB2	DGIdb
ASAH1	DGIdb
GRIN2D	DGIdb
EDN1	DGIdb
KLK3	DGIdb
LEP	DGIdb
KAT2A	DGIdb
RAD52	DGIdb
PPARD	DGIdb
CRHR2	DGIdb
GABRP	DGIdb
CD8B	DGIdb
MAP2K2	DGIdb
FPR1	DGIdb
CFTR	DGIdb
PTK2B	DGIdb
C10ORF67	DGIdb
MAP2K1	DGIdb
GLP1R	DGIdb
PIK3R6	DGIdb
RARG	DGIdb
BTK	DGIdb
IGF1R	DGIdb
MDM2	DGIdb
TERT	DGIdb
EGFR	DGIdb
ALK	DGIdb
FEN1	DGIdb
SMN2	DGIdb
CYP3A4	DGIdb
CTRB1	DGIdb
CCR3	DGIdb
SLC10A2	DGIdb
VWF	DGIdb
MAPK12	DGIdb
TUBA1B	DGIdb
CACNA1H	DGIdb
ANGPT2	DGIdb
HRAS	DGIdb
MRPL36	DGIdb
ATXN2	DGIdb
CYP1A2	DGIdb
ADRA1D	DGIdb
COX8A	DGIdb
ADRA1A	DGIdb
CD4	DGIdb
USP1	DGIdb
CHKA	DGIdb
GABRG1	DGIdb
SLC25A6	DGIdb
APLP1	DGIdb
NCSTN	DGIdb
IL6	DGIdb
VDR	DGIdb
MAPT	DGIdb
PLCG2	DGIdb
ITGB5	DGIdb
ABL2	DGIdb
RND3	DGIdb
CXCL12	DGIdb
GATA3	DGIdb
GABRE	DGIdb
SOD2	DGIdb
ADRB2	DGIdb
FYN	DGIdb
ADRA2A	DGIdb
CHRM1	DGIdb
YWHAE	DGIdb
AZF1	DGIdb
CXCR4	DGIdb
HTR2B	DGIdb
CD8B2	DGIdb
NATP	DGIdb
AADAC	DGIdb
BBS1	DGIdb
ABCC6	DGIdb
TAC1	DGIdb
HTR1A	DGIdb
RPL35	DGIdb
KCNH2	DGIdb
ALOX15	DGIdb
A12M3	DGIdb
CDK20	DGIdb
GABRR2	DGIdb
GABRA2	DGIdb
GCNT1	DGIdb
BRAF	DGIdb
MAOA	DGIdb
OPRK1	DGIdb
NFKB1	DGIdb
LPAR1	DGIdb
PDGFRB	DGIdb
GUCA2A	DGIdb
HTR1D	DGIdb
ABCC1	DGIdb
A12M4	DGIdb
KCNQ1	DGIdb
TRDMT1	DGIdb
APAF1	DGIdb
RPS10	DGIdb
DNER	DGIdb
ABCA2	DGIdb
SLCO1B3	DGIdb
HSP90B2P	DGIdb
ARSL	DGIdb
ADRA1B	DGIdb
ELAVL2	DGIdb
BNIP3	DGIdb
BARD1	DGIdb
AR	DGIdb
MET	DGIdb
TYRO3	DGIdb
MAPK11	DGIdb
TGM2	DGIdb
MMP2	DGIdb
HRH1	DGIdb
A1BG	DGIdb
GATM	DGIdb
BTNL1	DGIdb
TUBB6	DGIdb
DLL4	DGIdb
TNIK	DGIdb
PSMA2	DGIdb
NR3C2	DGIdb
ITGA2B	DGIdb
PRKACA	DGIdb
TOP2A	DGIdb
DDIT3	DGIdb
SLC6A4	DGIdb
SLC23A1	DGIdb
CHRM4	DGIdb
PTEN	DGIdb
NFE2L2	DGIdb
GRIA1	DGIdb
IMPDH2	DGIdb
NMUR2	DGIdb
HCN4	DGIdb
CYP2C19	DGIdb
TNF	DGIdb
SYK	DGIdb
KCNJ11	DGIdb
RPSA	DGIdb
CHRNB2	DGIdb
DHCR24	DGIdb
USP2	DGIdb
BLM	DGIdb
APOB	DGIdb
OSM	DGIdb
HSD17B10	DGIdb
YES1	DGIdb
GRIK2	DGIdb
HSD3B1	DGIdb
FOS	DGIdb
ABR	DGIdb
DHFR	DGIdb
GABRA5	DGIdb
KEAP1	DGIdb
IFNL3	DGIdb
GPC3	DGIdb
CXCL8	DGIdb
HSP90AA1	DGIdb
PIK3R5	DGIdb
SFTPA1	DGIdb
DCR	DGIdb
GBA1	DGIdb
PIK3CA	DGIdb
CAV1	DGIdb
ADM	DGIdb
TSHR	DGIdb
